,ROC AUC,Average Precision,N features,CVS
STABL,"0.630 [0.333, 0.899]","0.748 [0.479, 0.923]","4.500 [2.750, 6.000]","0.500 [0.333, 0.833]"
SS 03,"0.610 [0.323, 0.857] (p=0.41)","0.718 [0.454, 0.910] (p=0.238)","6.000 [6.000, 6.000] (p=3.636e-37)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.620 [0.344, 0.868] (p=0.46)","0.720 [0.460, 0.918] (p=0.266)","6.000 [6.000, 6.000] (p=2.873e-30)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 08,"0.710 [0.448, 0.948] (p=0.257)","0.809 [0.562, 0.958] (p=0.311)","1.000 [1.000, 1.000] (p=1.104e-56)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso,"0.520 [0.234, 0.798] (p=0.193)","0.685 [0.408, 0.889] (p=0.25)","2.500 [1.000, 5.000] (p=2.392e-06)","0.500 [0.200, 0.833] (p=2.365e-50)"
Lasso 1SE,"0.530 [0.264, 0.792] (p=0.182)","0.678 [0.391, 0.896] (p=0.224)","2.500 [1.000, 5.000] (p=9.494e-07)","0.500 [0.200, 1.000] (p=1.167e-30)"
ElasticNet,"0.500 [0.220, 0.768] (p=0.086)","0.618 [0.359, 0.884] (p=0.058)","3.000 [1.750, 5.000] (p=1.281e-03)","0.500 [0.333, 0.833] (p=7.090e-48)"
