,Associated weight
CD41hiCD61hiPLT_predictions,8.66281199095717
CD62LnAgedNeutrophils_predictions,8.637455202053722
Tregnaive_predictions,8.428125067319764
CD4Trm_predictions,8.16746186240543
intMC_predictions,7.11213055175099
Bcells_predictions,7.101759725597384
CCR2nncMC_predictions,6.8635638597338335
CD8Tcm_predictions,6.85761653891589
CD62LpImmatureNeutrophils_predictions,6.83652138102811
NKT_predictions,6.5635623045444325
CD56brightCD16nNKcells_predictions,4.643525566081249
CD56dimCD16pNKcells_predictions,4.201663222867986
CCR2pcMC_predictions,4.081270607923741
Tregmem_predictions,3.6687345933709348
MDSC_predictions,2.9799369609355217
CD4Tcm_predictions,2.809487612124629
pDC_predictions,2.4829128504810063
CD8Tem_predictions,2.4031662541897223
CD4Tem_predictions,2.161386888132414
CD4Tnaive_predictions,1.8973573605105998
CD61pCD41pPLT_predictions,1.3619040450242725
Th1mem_predictions,0.7884816477474188
CD8Tnaive_predictions,0.7405529827216462
Th1naive_predictions,0.5154996711576221
gdTcells_predictions,0.5149519411418135
mDC_predictions,0.3383744444084369
CD8Trm_predictions,0.04252650247631995
