sampleID,Bcells_CREB,Bcells_STAT5,Bcells_p38,Bcells_STAT1,Bcells_STAT3,Bcells_S6,Bcells_IkB,Bcells_NFkB,Bcells_ERK,Bcells_STAT6,Bcells_MAPKAPK2,Bcells_Frequency,CCR2nncMC_CREB,CCR2nncMC_STAT5,CCR2nncMC_p38,CCR2nncMC_STAT1,CCR2nncMC_STAT3,CCR2nncMC_S6,CCR2nncMC_IkB,CCR2nncMC_NFkB,CCR2nncMC_ERK,CCR2nncMC_STAT6,CCR2nncMC_MAPKAPK2,CCR2nncMC_Frequency,CCR2pcMC_CREB,CCR2pcMC_STAT5,CCR2pcMC_p38,CCR2pcMC_STAT1,CCR2pcMC_STAT3,CCR2pcMC_S6,CCR2pcMC_IkB,CCR2pcMC_NFkB,CCR2pcMC_ERK,CCR2pcMC_STAT6,CCR2pcMC_MAPKAPK2,CCR2pcMC_Frequency,CD41hiCD61hiPLT_CREB,CD41hiCD61hiPLT_STAT5,CD41hiCD61hiPLT_p38,CD41hiCD61hiPLT_STAT1,CD41hiCD61hiPLT_STAT3,CD41hiCD61hiPLT_S6,CD41hiCD61hiPLT_IkB,CD41hiCD61hiPLT_NFkB,CD41hiCD61hiPLT_ERK,CD41hiCD61hiPLT_STAT6,CD41hiCD61hiPLT_MAPKAPK2,CD41hiCD61hiPLT_Frequency,CD4Tcm_CREB,CD4Tcm_STAT5,CD4Tcm_p38,CD4Tcm_STAT1,CD4Tcm_STAT3,CD4Tcm_S6,CD4Tcm_IkB,CD4Tcm_NFkB,CD4Tcm_ERK,CD4Tcm_STAT6,CD4Tcm_MAPKAPK2,CD4Tcm_Frequency,CD4Tem_CREB,CD4Tem_STAT5,CD4Tem_p38,CD4Tem_STAT1,CD4Tem_STAT3,CD4Tem_S6,CD4Tem_IkB,CD4Tem_NFkB,CD4Tem_ERK,CD4Tem_STAT6,CD4Tem_MAPKAPK2,CD4Tem_Frequency,CD4Tnaive_CREB,CD4Tnaive_STAT5,CD4Tnaive_p38,CD4Tnaive_STAT1,CD4Tnaive_STAT3,CD4Tnaive_S6,CD4Tnaive_IkB,CD4Tnaive_NFkB,CD4Tnaive_ERK,CD4Tnaive_STAT6,CD4Tnaive_MAPKAPK2,CD4Tnaive_Frequency,CD4Trm_CREB,CD4Trm_STAT5,CD4Trm_p38,CD4Trm_STAT1,CD4Trm_STAT3,CD4Trm_S6,CD4Trm_IkB,CD4Trm_NFkB,CD4Trm_ERK,CD4Trm_STAT6,CD4Trm_MAPKAPK2,CD4Trm_Frequency,CD56brightCD16nNKcells_CREB,CD56brightCD16nNKcells_STAT5,CD56brightCD16nNKcells_p38,CD56brightCD16nNKcells_STAT1,CD56brightCD16nNKcells_STAT3,CD56brightCD16nNKcells_S6,CD56brightCD16nNKcells_IkB,CD56brightCD16nNKcells_NFkB,CD56brightCD16nNKcells_ERK,CD56brightCD16nNKcells_STAT6,CD56brightCD16nNKcells_MAPKAPK2,CD56brightCD16nNKcells_Frequency,CD56dimCD16pNKcells_CREB,CD56dimCD16pNKcells_STAT5,CD56dimCD16pNKcells_p38,CD56dimCD16pNKcells_STAT1,CD56dimCD16pNKcells_STAT3,CD56dimCD16pNKcells_S6,CD56dimCD16pNKcells_IkB,CD56dimCD16pNKcells_NFkB,CD56dimCD16pNKcells_ERK,CD56dimCD16pNKcells_STAT6,CD56dimCD16pNKcells_MAPKAPK2,CD56dimCD16pNKcells_Frequency,CD61pCD41pPLT_CREB,CD61pCD41pPLT_STAT5,CD61pCD41pPLT_p38,CD61pCD41pPLT_STAT1,CD61pCD41pPLT_STAT3,CD61pCD41pPLT_S6,CD61pCD41pPLT_IkB,CD61pCD41pPLT_NFkB,CD61pCD41pPLT_ERK,CD61pCD41pPLT_STAT6,CD61pCD41pPLT_MAPKAPK2,CD61pCD41pPLT_Frequency,CD62LnAgedNeutrophils_CREB,CD62LnAgedNeutrophils_STAT5,CD62LnAgedNeutrophils_p38,CD62LnAgedNeutrophils_STAT1,CD62LnAgedNeutrophils_STAT3,CD62LnAgedNeutrophils_S6,CD62LnAgedNeutrophils_IkB,CD62LnAgedNeutrophils_NFkB,CD62LnAgedNeutrophils_ERK,CD62LnAgedNeutrophils_STAT6,CD62LnAgedNeutrophils_MAPKAPK2,CD62LnAgedNeutrophils_Frequency,CD62LpImmatureNeutrophils_CREB,CD62LpImmatureNeutrophils_STAT5,CD62LpImmatureNeutrophils_p38,CD62LpImmatureNeutrophils_STAT1,CD62LpImmatureNeutrophils_STAT3,CD62LpImmatureNeutrophils_S6,CD62LpImmatureNeutrophils_IkB,CD62LpImmatureNeutrophils_NFkB,CD62LpImmatureNeutrophils_ERK,CD62LpImmatureNeutrophils_STAT6,CD62LpImmatureNeutrophils_MAPKAPK2,CD62LpImmatureNeutrophils_Frequency,CD8Tcm_CREB,CD8Tcm_STAT5,CD8Tcm_p38,CD8Tcm_STAT1,CD8Tcm_STAT3,CD8Tcm_S6,CD8Tcm_IkB,CD8Tcm_NFkB,CD8Tcm_ERK,CD8Tcm_STAT6,CD8Tcm_MAPKAPK2,CD8Tcm_Frequency,CD8Tem_CREB,CD8Tem_STAT5,CD8Tem_p38,CD8Tem_STAT1,CD8Tem_STAT3,CD8Tem_S6,CD8Tem_IkB,CD8Tem_NFkB,CD8Tem_ERK,CD8Tem_STAT6,CD8Tem_MAPKAPK2,CD8Tem_Frequency,CD8Tnaive_CREB,CD8Tnaive_STAT5,CD8Tnaive_p38,CD8Tnaive_STAT1,CD8Tnaive_STAT3,CD8Tnaive_S6,CD8Tnaive_IkB,CD8Tnaive_NFkB,CD8Tnaive_ERK,CD8Tnaive_STAT6,CD8Tnaive_MAPKAPK2,CD8Tnaive_Frequency,CD8Trm_CREB,CD8Trm_STAT5,CD8Trm_p38,CD8Trm_STAT1,CD8Trm_STAT3,CD8Trm_S6,CD8Trm_IkB,CD8Trm_NFkB,CD8Trm_ERK,CD8Trm_STAT6,CD8Trm_MAPKAPK2,CD8Trm_Frequency,gdTcells_CREB,gdTcells_STAT5,gdTcells_p38,gdTcells_STAT1,gdTcells_STAT3,gdTcells_S6,gdTcells_IkB,gdTcells_NFkB,gdTcells_ERK,gdTcells_STAT6,gdTcells_MAPKAPK2,gdTcells_Frequency,intMC_CREB,intMC_STAT5,intMC_p38,intMC_STAT1,intMC_STAT3,intMC_S6,intMC_IkB,intMC_NFkB,intMC_ERK,intMC_STAT6,intMC_MAPKAPK2,intMC_Frequency,mDC_CREB,mDC_STAT5,mDC_p38,mDC_STAT1,mDC_STAT3,mDC_S6,mDC_IkB,mDC_NFkB,mDC_ERK,mDC_STAT6,mDC_MAPKAPK2,mDC_Frequency,MDSC_CREB,MDSC_STAT5,MDSC_p38,MDSC_STAT1,MDSC_STAT3,MDSC_S6,MDSC_IkB,MDSC_NFkB,MDSC_ERK,MDSC_STAT6,MDSC_MAPKAPK2,MDSC_Frequency,NKT_CREB,NKT_STAT5,NKT_p38,NKT_STAT1,NKT_STAT3,NKT_S6,NKT_IkB,NKT_NFkB,NKT_ERK,NKT_STAT6,NKT_MAPKAPK2,NKT_Frequency,pDC_CREB,pDC_STAT5,pDC_p38,pDC_STAT1,pDC_STAT3,pDC_S6,pDC_IkB,pDC_NFkB,pDC_ERK,pDC_STAT6,pDC_MAPKAPK2,pDC_Frequency,Th1mem_CREB,Th1mem_STAT5,Th1mem_p38,Th1mem_STAT1,Th1mem_STAT3,Th1mem_S6,Th1mem_IkB,Th1mem_NFkB,Th1mem_ERK,Th1mem_STAT6,Th1mem_MAPKAPK2,Th1mem_Frequency,Th1naive_CREB,Th1naive_STAT5,Th1naive_p38,Th1naive_STAT1,Th1naive_STAT3,Th1naive_S6,Th1naive_IkB,Th1naive_NFkB,Th1naive_ERK,Th1naive_STAT6,Th1naive_MAPKAPK2,Th1naive_Frequency,Tregmem_CREB,Tregmem_STAT5,Tregmem_p38,Tregmem_STAT1,Tregmem_STAT3,Tregmem_S6,Tregmem_IkB,Tregmem_NFkB,Tregmem_ERK,Tregmem_STAT6,Tregmem_MAPKAPK2,Tregmem_Frequency,Tregnaive_CREB,Tregnaive_STAT5,Tregnaive_p38,Tregnaive_STAT1,Tregnaive_STAT3,Tregnaive_S6,Tregnaive_IkB,Tregnaive_NFkB,Tregnaive_ERK,Tregnaive_STAT6,Tregnaive_MAPKAPK2,Tregnaive_Frequency
1326,0.133671323,0.0,0.0,0.0,0.0,0.147700476,0.407078715,0.638313013,0.068450185,0.0,0.390375184,6.284994178,0.597382709,0.178716493,0.026552984,0.0,0.19476907,0.260720788,0.430157416,0.557225659,0.121792639,0.022359763,0.345228186,4.941855828,0.700901984,0.232575477,0.068561222,0.0,0.944504638,0.348706428,0.756898497,0.421821476,0.134153711,0.079941019,0.279629518,35.32996219,0.011440464,0.061652381,0.211060911,0.0,0.0,0.029929565,0.119076379,0.084242047,0.0,0.0,0.121423747,,0.123207361,1.058767024,0.0,0.0,0.709501528,0.10911469,0.582722469,1.280090608,0.456606513,0.89452085,0.134610863,9.210547305,0.141692648,1.049746228,0.004082555,0.0,0.338987586,0.114627922,0.532184772,1.233855322,0.410929819,0.854784945,0.134144608,2.616088947,0.117064374,1.075929517,0.0,0.0,1.053405801,0.074961676,0.694624949,1.325826034,0.493694999,0.991176687,0.262595102,12.82362137,0.162132407,0.545900571,0.0,0.0,0.111097667,0.080365922,0.508590721,1.128150904,0.387692227,0.641908443,0.26107972,0.173874204,0.241488031,0.315252491,0.0,0.0,0.0,0.072081988,0.592228772,0.761855953,0.085686944,0.026154007,0.325577648,0.435483099,0.273871269,0.188798267,0.0,0.0,0.0,0.090605782,0.378460903,0.710236053,0.063860412,0.0,0.498724777,9.764073442,0.2567507,0.062063293,0.0,0.0,0.516663539,0.455227526,0.41468933,0.272790389,0.008198739,6.17e-05,0.108293255,,0.891650445,0.139770468,0.166370468,0.0,0.457183612,0.61100349,0.788275367,0.587972962,0.159940545,0.130143934,0.314824692,0.019374288,0.524888324,0.144649679,0.040083918,0.0,1.053645372,1.183300237,0.242600376,0.02076461,0.0,0.0,0.038368456,0.272015003,0.111920609,0.773703864,0.0,0.0,0.103460241,0.096180556,0.532570125,1.188424106,0.370634875,0.763897902,0.13158396,0.995389941,0.140864317,0.373513864,0.0,0.0,0.0,0.070488444,0.430143533,1.157376701,0.343154247,0.559081611,0.094834812,0.949129831,0.137441857,0.908773343,0.0,0.0,0.357233696,0.06786709,0.64515909,1.284903312,0.369920872,0.78771511,0.315271562,1.032078993,0.185580744,0.248717119,0.0,0.0,0.0,0.113794813,0.373482953,1.124767145,0.327952683,0.582904526,0.288109926,0.438673451,0.244854746,0.28552944,0.0,0.0,0.0,0.102087631,0.485095401,1.437819179,0.536357047,0.913132305,0.163512058,1.089505336,0.74886924,0.235510098,0.070904199,0.0,0.642205303,0.364720102,0.635879552,0.502439624,0.147958929,0.069166091,0.273455057,7.975880936,0.748130787,0.208393836,0.053096123,0.0,1.087963936,0.385430947,1.218639603,0.41532046,0.107638142,0.024022277,0.320079486,1.288902359,0.587666143,0.201237253,0.048146578,0.0,1.056763757,0.299374603,0.523432535,0.308460266,0.091029432,0.062968464,0.206344096,2.582590247,0.257297335,0.47496585,0.0,0.0,0.164215271,0.139227192,0.592284571,1.29252016,0.467408784,0.785861663,0.250693355,0.513646732,0.382784437,0.401329244,0.090347497,0.0,0.313472357,0.206741006,1.344630916,0.433756103,0.12366144,0.0,0.565890413,0.089329866,0.498715723,0.599075458,0.037445475,0.0,0.922777799,0.414630449,0.741142021,1.281106849,0.339636008,0.78797115,0.308295864,0.043069757,0.02691652,1.324725734,0.040659459,0.0,1.199169131,0.072642615,0.96482615,1.32213193,0.583686217,0.832315972,0.534617272,0.0334987,0.08080479,0.670382472,0.0,0.0,0.307846436,0.119599081,0.440724504,1.211070953,0.466805878,0.836760347,0.118485732,1.580819602,0.128209144,0.915360455,0.0,0.0,0.596845658,0.072940888,0.603432819,1.277721407,0.563904676,0.969232904,0.217990167,0.130804447
1330,0.11387533,0.017231755,0.0,0.0,0.0,0.110075718,0.309405023,0.462924933,0.019305547,0.0,0.309940726,1.817093608,0.476217094,0.138568216,0.0,0.0,0.210999006,0.2420239,0.313278534,0.424701742,0.068655054,0.001117044,0.239528923,3.279865932,0.454868647,0.209542717,0.01848288,0.0,0.746150807,0.262885407,0.541017584,0.291919795,0.084996959,0.052039074,0.232978556,45.68589897,0.0,0.0,0.0,0.0,0.0,0.037471838,0.11564978,0.072589397,0.0,0.0,0.0,,0.062735486,0.806227293,0.0,0.0,0.460468864,0.094790246,0.424940968,1.118193185,0.39803373,0.775340404,0.08250814,9.695954034,0.071957864,0.855000482,0.0,0.0,0.236622926,0.084799715,0.400147355,1.123679062,0.372565961,0.793020282,0.063616963,3.600670338,0.064521014,0.888916534,0.0,0.0,0.817969468,0.066641275,0.503840956,1.16192077,0.418769257,0.875481998,0.183032204,3.964567872,0.045204669,0.324140706,0.0,0.0,0.150431252,0.02187023,0.311054498,0.997015398,0.249660763,0.627176085,0.180869208,0.05266938,0.140037307,0.240803735,0.0,0.0,0.0,0.0719894,0.368072443,0.575151289,0.0,0.0,0.290997422,1.017476658,0.155256315,0.178161116,0.0,0.0,0.0,0.079151635,0.260591638,0.48946957,0.035796591,0.0,0.41047061,14.28058415,0.238426932,0.017350891,0.0,0.0,0.259263905,0.716013716,0.368389764,0.125999449,0.0,0.0,0.045038257,,0.783891197,0.213975459,0.050178145,0.0,0.502437596,0.639482908,0.731164627,0.347930277,0.036902389,0.05353697,0.149622606,0.141199399,0.547857881,0.144753306,0.023343434,0.0,0.523565191,0.946125238,0.309249572,0.029084313,0.0,0.0,0.01250842,0.585347745,0.093774686,0.586846189,0.0,0.0,0.099742458,0.098200997,0.42418228,1.039080968,0.317027936,0.709862506,0.078262443,1.247306679,0.09985825,0.329164512,0.0,0.0,0.0,0.068741824,0.29584346,1.025244877,0.305429137,0.56879323,0.048741759,1.805123294,0.070109552,0.633843913,0.0,0.0,0.232265015,0.056762444,0.414305673,1.080302539,0.324151744,0.731109243,0.24490777,0.952836964,0.102225575,0.198231466,0.0,0.0,0.0,0.062123957,0.19512288,0.877839904,0.278479214,0.527735073,0.270610759,1.635144841,0.085307562,0.176347183,0.0,0.0,0.0,0.052789318,0.204467814,0.92289245,0.370415982,0.635131628,0.329713893,1.225760115,0.5052519,0.217615893,0.031669189,0.0,0.455609855,0.270849253,0.480328633,0.40279862,0.109087855,0.057773787,0.220893536,3.378022504,0.383210052,0.150696897,0.03107352,0.0,0.871397031,0.409915399,0.635793042,0.254886702,0.045442552,0.0,0.13238186,0.244194398,0.376490408,0.153087516,0.003693138,0.0,0.860289981,0.18191283,0.394466618,0.188638489,0.047484248,0.037056744,0.152916207,2.710079004,0.120626179,0.38069124,0.0,0.0,0.073125566,0.117503125,0.354322683,1.198569074,0.320020486,0.653269356,0.088720353,0.564998803,0.393675607,0.288202016,0.0,0.0,0.127803654,0.261803109,1.216235554,0.248800869,0.05466345,0.058163238,0.57049668,0.074215944,0.075450279,0.960361044,0.0,0.0,0.498484349,0.180952803,0.490925943,1.058197089,0.264343036,0.838522026,0.088076202,0.040699066,0.458567952,0.655489856,0.162423008,0.0,1.163678997,0.306893273,0.534202265,1.235293122,0.23155087,1.093345499,0.180801481,0.011970314,0.021727754,0.437760503,0.0,0.0,0.202000728,0.09844941,0.3431283,1.046280278,0.388587485,0.777203121,0.073916437,1.781182667,0.240957688,0.445660839,0.0,0.0,0.613201783,0.040714506,0.541791415,1.113706781,0.36867951,0.855849131,0.132482968,0.028728753
1331,0.111585236,0.0,0.0,0.0,0.0,0.239482714,0.276791549,0.326884373,0.0,0.0,0.188391145,5.820323199,0.531747778,0.129896813,0.0,0.0,0.923775335,0.357770782,0.457835457,0.270951572,0.001726473,0.0,0.126349838,1.3499237,0.440647011,0.205153311,0.000163752,0.0,1.859731286,0.209689179,0.602771943,0.314356368,0.076098207,0.069016221,0.131049481,39.90491842,0.0,0.043209433,0.122819034,0.0,0.118273372,0.005811064,0.115343253,0.093747792,0.0,0.0,0.049215173,,0.071524082,0.169939752,0.0,0.0,1.642663994,0.074900289,0.3811779,1.053043987,0.350063145,0.627728133,0.037259022,6.364205501,0.11104168,0.138981693,0.0,0.0,0.858221703,0.065397977,0.363937565,0.969903785,0.312973907,0.534707908,0.021363684,4.051727511,0.044349915,0.244700901,0.0,0.0,2.193036166,0.048299119,0.432900716,1.046556634,0.388182912,0.730082192,0.104850654,0.959619674,0.082507564,0.234032935,0.0,0.0,0.310910821,0.09428231,0.219199667,0.783271685,0.37579325,0.590424168,0.157037784,0.038150018,0.144853374,0.055502215,0.0,0.0,0.0,0.068845395,0.404986818,0.332754382,0.0,0.0,0.191710235,0.09292953,0.20902354,0.092396867,0.0,0.0,0.0,0.062751125,0.290549112,0.485308437,0.023359568,0.0,0.362511964,2.527683218,0.310066776,0.037814191,0.0,0.0,0.638025131,0.37415858,0.395306087,0.149567918,0.0,0.0,0.02724475,,0.822721193,0.222000767,0.059027036,0.0,0.943614943,0.601918429,0.803544362,0.36429295,0.049290434,0.050819716,0.146497461,0.331636336,0.708995391,0.190550079,0.029051571,0.0,1.371772675,0.675463111,0.573298452,0.129386818,0.0,0.0,0.098500343,1.213176914,0.077494942,0.167742687,0.0,0.0,0.668039656,0.071046614,0.459814677,1.014200361,0.305014056,0.535222368,0.031845548,8.843956646,0.156349261,0.098397926,0.0,0.0,0.0,0.057316744,0.33909166,0.876448754,0.249089659,0.45043637,0.044033271,4.373557147,0.084661235,0.182906515,0.0,0.0,0.672330064,0.061604606,0.429365679,0.978062965,0.33303144,0.581824211,0.130524297,1.660993074,0.125022379,0.08948342,0.0,0.0,0.0,0.0467291,0.258171842,0.762680142,0.28895931,0.503071322,0.138575536,2.982548812,0.182535758,0.096122347,0.0,0.0,0.0,0.061544463,0.335890315,0.903693447,0.399789614,0.697051061,0.126279612,0.405955316,0.528615386,0.210850369,0.0180246,0.0,1.603255245,0.20963864,0.63244313,0.426028914,0.106905452,0.052376698,0.13757445,16.61090895,0.509451566,0.205281261,0.0,0.0,2.030271615,0.39310042,0.766687562,0.298183499,0.07159041,0.029891242,0.19132518,0.353132214,0.417907563,0.19003071,0.0,0.0,1.888793547,0.186178522,0.524816145,0.284133274,0.064467552,0.064823322,0.114690092,25.47540791,0.138311011,0.11976765,0.0,0.0,0.0,0.071420257,0.35277684,0.810216634,0.323718972,0.499066122,0.141652449,0.726806746,0.725358765,0.810050406,0.0,0.007584158,0.406826001,0.322565956,1.106866924,0.203737537,0.020991478,0.050172478,0.190338446,0.007825645,0.399431141,0.254865611,0.003692222,0.0,1.660771427,0.230869872,0.534205011,0.929739456,0.361183894,0.622014672,0.199565503,0.036193606,0.645138454,0.42460618,0.216961645,0.0,2.311558617,0.482718661,1.348937356,1.379082027,0.567205656,0.54196415,0.25052211,0.011738467,0.033010783,0.240798071,0.0,0.0,1.123772457,0.100049504,0.317391872,1.102393449,0.35737997,0.640569844,0.012188579,0.851038854,0.065221949,0.232926893,0.0,0.0,1.967718826,0.076892472,0.486209828,1.071033663,0.468646437,0.72804236,0.07023374,0.012716673
1337,0.092440813,0.0,0.0,0.0,0.0,0.118538859,0.324440868,0.506011412,0.03502765,0.0,0.268574303,3.294059806,0.56141223,0.167157627,0.016623195,0.0,0.105373008,0.218300541,0.355639547,0.460316154,0.110652951,0.018887756,0.370617988,5.218521185,0.509262461,0.194455358,0.051684775,0.0,0.508526153,0.274947704,0.609180113,0.347860883,0.13231147,0.075443771,0.281531586,17.94173939,0.0,0.0,0.0,0.0,0.0,0.011493561,0.087139672,0.011893015,0.0,0.0,0.0,,0.088375584,0.404314576,0.0,0.0,0.253996475,0.075189989,0.461851122,1.204018886,0.41029677,0.723145574,0.111248008,18.56332637,0.116720448,0.360672405,0.0,0.0,0.093643708,0.071716823,0.390311083,1.135029509,0.353472673,0.606992389,0.115959836,9.810187705,0.071659297,0.346925018,0.0,0.0,0.425254638,0.036738145,0.48207915,1.216387424,0.463904216,0.890758589,0.169673372,1.975382346,0.183377928,0.508693381,0.0,0.0,0.065425203,0.015985044,0.358388448,0.840013456,0.48646918,0.549573525,0.198897015,0.049165072,0.287305183,0.180417242,0.0,0.0,0.010449505,0.018532841,0.393092261,0.6282972,0.072927194,0.0,0.243160497,0.277431476,0.306187841,0.160782649,0.0,0.0,0.0,0.067276565,0.285350274,0.63905273,0.0577221,0.0,0.406382924,10.83914242,0.210534807,0.019669197,0.0,0.0,0.200688645,0.846096452,0.31981754,0.178038399,0.0,0.0,0.069962707,,0.544592624,0.189703191,0.0,0.0,0.585615452,0.604599493,0.76199916,0.429171183,0.062769337,0.05372594,0.136293699,0.499135447,0.366331767,0.118465181,0.0,0.0,0.413592966,0.706240479,0.176856111,0.0,0.0,0.0,0.01296715,0.116426513,0.121904284,0.359437936,0.0,0.0,0.005559706,0.074501491,0.399839063,1.137563414,0.33698625,0.566485082,0.119734959,1.926217274,0.243224297,0.18568399,0.0,0.0,0.0,0.054295392,0.27662947,1.018017435,0.319924042,0.520875848,0.092402116,6.507348422,0.101206872,0.272666838,0.0,0.0,0.074806534,0.05760286,0.435488402,1.109564134,0.394290851,0.702209542,0.208511155,1.028954715,0.308435263,0.130957237,0.0,0.0,0.0,0.038906441,0.232384107,0.943933327,0.341848811,0.550165327,0.176653306,2.814700356,0.293032817,0.143015692,0.0,0.0,0.018885862,0.0800041,0.25235808,1.033898353,0.38504074,0.645880768,0.291359363,0.716405331,0.547811286,0.197072621,0.037471489,0.0,0.249567147,0.255668459,0.501221295,0.432544665,0.140735845,0.066261466,0.262287814,11.45721761,0.567500746,0.17798919,0.010300813,0.0,0.52121372,0.585032768,0.646711357,0.267594214,0.073524785,0.0,0.275172613,0.537303998,0.452324209,0.142626817,0.029620405,0.0,0.586202638,0.225861291,0.435590045,0.269932008,0.086748281,0.063881154,0.202138372,3.060525715,0.303978422,0.182554037,0.0,0.0,0.0,0.075417804,0.287938327,0.980518167,0.333843414,0.566485082,0.154752839,1.898122948,0.362025285,0.295075711,0.048326184,0.0,0.0,0.315187397,1.101608742,0.307805727,0.069123159,0.0,0.567820705,0.173833646,0.198009962,0.311557397,0.0,0.0,0.172047871,0.103572388,0.568733572,1.062068784,0.405145211,0.623926742,0.098303679,0.133448052,0.541914786,0.561036397,0.111113851,0.0,0.338598309,0.310934237,0.551053257,1.486198904,0.670536468,0.740099374,0.169821238,0.012291268,0.038652354,0.244560348,0.0,0.0,0.0532986,0.064332786,0.323195605,1.109127001,0.430061083,0.696040516,0.10053566,1.791013327,0.094177906,0.476101938,0.0,0.0,0.163254271,0.106751964,0.35720534,1.186432021,0.510691292,0.778945627,0.261795538,0.049165072
1357,0.128403185,0.0,0.0,0.0,0.0,0.146846028,0.292181405,0.509480637,0.029744962,0.0,0.303588761,5.794335308,0.544003006,0.144244967,0.0,0.0,0.170160264,0.230786476,0.275648467,0.438979473,0.101211467,0.007269793,0.364486879,2.945783892,0.629105274,0.159000606,0.057385486,0.0,1.040580653,0.279723051,0.519214603,0.318149984,0.120564922,0.045753447,0.329069033,34.26184346,0.043912281,0.018744133,0.163506794,0.0,0.0,0.056686171,0.113387087,0.114667389,0.0,0.0,0.133413729,,0.100629557,0.469405436,0.0,0.0,0.831736364,0.084057378,0.4050155,1.181351421,0.387251335,0.677996941,0.11397547,6.060824315,0.154814611,0.31176797,0.0,0.0,0.111993584,0.07985791,0.29598548,1.085548927,0.288762834,0.489201986,0.106660171,5.749320273,0.08986735,0.450623307,0.0,0.0,1.326971517,0.060868793,0.501882355,1.207868545,0.487892454,0.750987563,0.213123562,1.265822785,0.163981561,0.090827831,0.0,0.0,0.0,0.062648185,0.230049749,0.857518804,0.252960405,0.360959253,0.217118732,0.423141329,0.171403473,0.131295856,0.0,0.0,0.04259666,0.028091247,0.363530802,0.698000553,0.06769945,0.0,0.188711015,0.095431874,0.24473312,0.122379083,0.0,0.0,0.0,0.052655662,0.218110893,0.7137399,0.051527066,0.0,0.365568163,10.47229775,0.24058296,0.005078775,0.0,0.0,0.253289157,0.538438144,0.22991516,0.207967237,0.0,0.0,0.080689465,,1.030081297,0.172831737,0.377862355,0.0,0.510941948,0.761904055,0.419841743,0.446641371,0.208966742,0.044281413,0.509066496,0.056067326,0.654102944,0.074007972,0.030426296,0.0,0.655398045,0.89613654,0.159054904,0.071423913,0.0,0.0,0.062371951,0.200160353,0.182220662,0.299037517,0.0,0.0,0.0,0.096397322,0.340634481,1.21532674,0.328310677,0.537913117,0.119913029,1.510704575,0.188308443,0.14020398,0.0,0.0,0.0,0.055280932,0.234973991,0.974823806,0.263469939,0.413118259,0.08073525,10.74058736,0.10697481,0.378597974,0.0,0.0,0.753568873,0.08051208,0.471081669,1.203257326,0.371914105,0.635381221,0.270942524,1.19559933,0.166074211,0.142359656,0.0,0.0,0.0,0.056186131,0.24020221,0.950017217,0.266492953,0.409458073,0.240299083,7.14658696,0.205021903,0.110999158,0.0,0.0,0.0,0.071149366,0.283459026,1.237994285,0.448657397,0.72302927,0.192683296,1.062354827,0.681611658,0.17201,0.071889671,0.0,0.688330287,0.280846077,0.435645758,0.397563877,0.131669502,0.046141421,0.321962784,2.241748744,0.683928011,0.142973136,0.042660754,0.0,1.1269712,0.425665736,0.724506633,0.265486404,0.077048736,0.0,0.317967916,0.824675442,0.538240797,0.121632063,0.045856746,0.0,1.071082997,0.209209421,0.298026427,0.217498484,0.06463651,0.0,0.19133997,0.641014099,0.184922772,0.149295697,0.0,0.0,0.0,0.060404114,0.2558791,0.947418858,0.251835252,0.36787396,0.222462973,8.120712318,0.443029009,0.327808047,0.0,0.0,0.787666513,0.290514453,1.256049769,0.29807022,0.130805362,0.047730156,0.649582591,0.046815636,0.495340315,0.32584537,0.047186244,0.0,0.22374521,0.311614755,0.544714107,1.052857554,0.32649625,0.391178488,0.217758345,0.11523849,0.412202078,0.399356009,0.095891134,0.0,1.068122549,0.269209108,0.687416228,1.104911833,0.569659784,0.563867742,0.326917254,0.055818643,0.037220062,0.366373451,0.0,0.0,0.349445637,0.08746025,0.316690002,1.152406504,0.43165797,0.706351989,0.09502971,0.806669428,0.289166665,0.64091066,0.075763084,0.0,1.268193568,0.205087654,0.740087811,1.331768817,0.817058886,0.911338023,0.114827173,0.019806615
