,Spearman corr,pvalue
S6,0.5549503804954368,0.011092407862489932
ERK,-0.4337180673274521,0.05606407963441671
STAT6,-0.2948173896382008,0.20700547241122197
MAPKAPK2,-0.2948173896382008,0.20700547241122197
NFkB,-0.2774751902477184,0.2362383786543498
STAT1,-0.22941573387056172,0.3305649312781844
CREB,-0.22544859207627121,0.3392245168854384
STAT5,-0.1907641932953064,0.42045602297364715
STAT3,-0.17342199390482396,0.4646587776970642
p38,-0.13011542019823566,0.5845439947553839
IkB,0.10405319634289441,0.6624265026477676
Frequency,-0.052026598171447204,0.827557337051562
