,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.520 [0.321, 0.720]","0.493 [0.292, 0.785]","0.000 [0.000, 1.250]","0.000 [0.000, 0.000]",8.815e-01
SS 03,"0.410 [0.151, 0.697] (p=0.235)","0.453 [0.275, 0.788] (p=0.293)","6.000 [6.000, 6.000] (p=8.277e-60)","1.000 [0.833, 1.000] (p=0.000e+00)",5.205e-01
SS 05,"0.410 [0.162, 0.708] (p=0.218)","0.453 [0.270, 0.770] (p=0.292)","6.000 [6.000, 6.000] (p=8.277e-60)","1.000 [0.833, 1.000] (p=0.000e+00)",5.205e-01
SS 08,"0.310 [0.088, 0.552] (p=0.115)","0.434 [0.249, 0.728] (p=0.257)","4.000 [3.000, 4.000] (p=2.340e-20)","0.750 [0.600, 1.000] (p=0.000e+00)",1.620e-01
Lasso,"0.450 [0.333, 0.500] (p=0.347)","0.500 [0.300, 0.700] (p=0.49)","0.000 [0.000, 0.000] (p=3.194e-09)","0.000 [0.000, 0.000] (p=1.925e-247)",3.681e-01
Lasso 1SE,"0.450 [0.333, 0.500] (p=0.354)","0.500 [0.300, 0.750] (p=0.482)","0.000 [0.000, 0.000] (p=3.194e-09)","0.000 [0.000, 0.000] (p=1.925e-247)",3.681e-01
ElasticNet,"0.490 [0.209, 0.758] (p=0.441)","0.530 [0.306, 0.844] (p=0.408)","0.000 [0.000, 0.000] (p=3.194e-09)","0.000 [0.000, 0.000] (p=1.925e-247)",9.698e-01
