,Feature Name
Feature n°1,Bcells_S6
Feature n°2,CCR2nncMC_NFkB
Feature n°3,CCR2nncMC_MAPKAPK2
Feature n°4,CCR2nncMC_Frequency
Feature n°5,CCR2pcMC_S6
Feature n°6,CCR2pcMC_Frequency
Feature n°7,CD4Tnaive_Frequency
Feature n°8,CD56brightCD16nNKcells_Frequency
Feature n°9,CD56dimCD16pNKcells_Frequency
Feature n°10,CD61pCD41pPLT_CREB
Feature n°11,CD61pCD41pPLT_STAT3
Feature n°12,CD62LnAgedNeutrophils_S6
Feature n°13,CD62LpImmatureNeutrophils_S6
Feature n°14,intMC_S6
Feature n°15,mDC_S6
Feature n°16,mDC_Frequency
Feature n°17,MDSC_S6
Feature n°18,MDSC_Frequency
Feature n°19,Th1mem_S6
Feature n°20,Th1naive_CREB
Feature n°21,Th1naive_S6
Feature n°22,Th1naive_MAPKAPK2
