,ROC AUC,Average Precision,N features,CVS
STABL,"0.450 [0.250, 0.657]","0.526 [0.312, 0.765]","0.000 [0.000, 0.250]","0.000 [0.000, 0.000]"
SS 03,"0.480 [0.176, 0.737] (p=0.417)","0.604 [0.331, 0.865] (p=0.278)","14.000 [13.000, 15.000] (p=5.647e-07)","0.556 [0.500, 0.643] (p=6.966e-72)"
SS 05,"0.395 [0.131, 0.677] (p=0.361)","0.496 [0.275, 0.807] (p=0.37)","7.500 [7.000, 8.000] (p=5.354e-07)","0.545 [0.424, 0.625] (p=6.706e-72)"
SS 08,"0.440 [0.180, 0.737] (p=0.475)","0.527 [0.316, 0.835] (p=0.496)","2.000 [1.750, 2.000] (p=1.152e-04)","0.333 [0.000, 0.667] (p=5.620e-42)"
Lasso,"0.410 [0.156, 0.692] (p=0.392)","0.589 [0.305, 0.823] (p=0.279)","8.500 [1.000, 12.000] (p=3.226e-04)","0.125 [0.000, 0.357] (p=4.333e-33)"
Lasso 1SE,"0.430 [0.151, 0.703] (p=0.432)","0.589 [0.324, 0.832] (p=0.251)","8.500 [0.000, 12.000] (p=1.739e-03)","0.000 [0.000, 0.357] (p=3.818e-24)"
ElasticNet,"0.170 [0.000, 0.374] (p=0.051)","0.370 [0.216, 0.642] (p=0.006)","2.500 [0.000, 13.250] (p=1.423e-02)","0.000 [0.000, 0.113] (p=1.146e-14)"
