,ROC AUC,Average Precision,N features,CVS
STABL,"0.160 [0.025, 0.350]","0.373 [0.217, 0.617]","2.000 [0.000, 3.000]","0.000 [0.000, 0.500]"
SS 03,"0.500 [0.230, 0.771] (p=0.028)","0.538 [0.323, 0.869] (p=0.103)","7.000 [7.000, 7.000] (p=3.139e-75)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.150 [0.000, 0.387] (p=0.48)","0.385 [0.229, 0.648] (p=0.461)","5.000 [5.000, 5.000] (p=2.795e-68)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 08,"0.110 [0.000, 0.340] (p=0.361)","0.376 [0.205, 0.637] (p=0.514)","3.000 [2.000, 3.000] (p=1.968e-07)","0.667 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.335 [0.120, 0.591] (p=0.135)","0.458 [0.260, 0.763] (p=0.119)","7.000 [0.000, 8.000] (p=8.379e-07)","0.000 [0.000, 0.875] (p=2.263e-04)"
Lasso 1SE,"0.335 [0.115, 0.606] (p=0.168)","0.458 [0.257, 0.765] (p=0.112)","7.000 [0.000, 8.000] (p=8.379e-07)","0.000 [0.000, 0.875] (p=2.263e-04)"
ElasticNet,"0.380 [0.133, 0.677] (p=0.118)","0.445 [0.251, 0.765] (p=0.134)","0.000 [0.000, 0.000] (p=1.203e-13)","0.000 [0.000, 0.000] (p=0.000e+00)"
