,Spearman corr,pvalue
STAT3,-0.5698028822981897,0.008721316687199636
STAT5,-0.4305872796604719,0.05806383149345599
STAT6,-0.3905498468561695,0.08865932553143627
S6,-0.3815283865906128,0.09694244809397427
NFkB,-0.3815283865906128,0.09694244809397427
MAPKAPK2,-0.34938607013332723,0.13105670847750833
p38,-0.3473667371459374,0.13345123858773741
ERK,-0.3328713326493031,0.15155241782202525
CREB,-0.2872094538594893,0.21951871748983984
IkB,-0.22544859207627121,0.3392245168854384
STAT1,,
