,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.750]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.000e+00
SS 03,"0.460 [0.172, 0.750] (p=0.431)","0.478 [0.272, 0.788] (p=0.421)","4.000 [3.000, 4.000] (p=1.648e-80)","1.000 [0.750, 1.000] (p=0.000e+00)",7.913e-01
SS 05,"0.510 [0.229, 0.792] (p=0.49)","0.557 [0.318, 0.826] (p=0.354)","2.000 [2.000, 2.000] (p=2.562e-74)","0.500 [0.333, 0.667] (p=0.000e+00)",9.698e-01
SS 08,"0.500 [0.500, 0.500] (p=1.0)","0.500 [0.300, 0.700] (p=1.0)","0.000 [0.000, 0.000] (p=1.000e+00)","0.000 [0.000, 0.000] (p=1.000e+00)",1.000e+00
Lasso,"0.610 [0.312, 0.859] (p=0.303)","0.655 [0.384, 0.891] (p=0.146)","1.000 [1.000, 1.000] (p=5.050e-85)","1.000 [1.000, 1.000] (p=0.000e+00)",4.272e-01
Lasso 1SE,"0.610 [0.330, 0.868] (p=0.279)","0.651 [0.382, 0.902] (p=0.15)","1.000 [1.000, 1.000] (p=5.050e-85)","1.000 [1.000, 1.000] (p=0.000e+00)",4.274e-01
ElasticNet,"0.580 [0.290, 0.823] (p=0.326)","0.648 [0.363, 0.872] (p=0.142)","3.000 [2.000, 3.000] (p=4.443e-78)","0.667 [0.667, 1.000] (p=0.000e+00)",5.708e-01
