,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.60687795,0.29938813,0.223378963,0.0,0.0,0.168413146,0.040830363,0.478607192,0.730371201,0.057118287,0.0,0.332691925
1330,1.31910856,0.164261995,0.148025534,0.0,0.0,0.002590842,0.080205166,0.400929358,0.660064668,0.044186973,0.0,0.319880036
1331,0.275279244,0.453746705,0.106557129,0.0,0.0,0.099073118,0.054326742,0.385477136,0.516985289,0.0,0.0,0.236775673
1337,0.097015167,0.126729261,0.155358347,0.0,0.0,0.125566176,0.038577805,0.266626867,0.375632997,0.001962118,0.01234439,0.245679283
1357,0.078740157,0.310395852,0.135099777,0.0,0.0,0.0,0.063973573,0.4694031,0.395097742,0.006482247,0.024932934,0.205138135
1377,0.046195196,0.350459184,0.196501802,0.0,0.0,0.010076217,0.139729013,0.448208243,0.628813348,0.0,0.0,0.357048037
1381,0.503225002,0.590076743,0.099750337,0.0,0.0,0.0,0.05357944,0.328252348,0.578015677,0.0,0.0,0.282415048
1400,0.49416755,0.234243084,0.06978624,0.0,0.0,0.0,0.07459862,0.394396891,0.51672895,0.0,0.0,0.248275909
1414,0.221281678,0.542591861,0.06421136,0.0,0.0,0.0,0.133411148,0.569332544,1.270674771,0.0,0.0,0.415847385
1418,0.390440133,0.338428968,0.09121441,0.0,0.0,0.0,0.127553255,0.765493686,1.018340284,0.057127443,0.0,0.333233531
1427,0.508217279,0.21517325,0.099268091,0.0,0.0,0.0,0.124068968,0.396247858,0.662865381,0.028628247,0.0,0.24567639
1428,0.40844409,0.262883737,0.088473373,0.0,0.0,0.0,0.074914331,0.280876221,0.616529775,0.0,0.0,0.277435007
1431,0.295949784,0.320023365,0.067251046,0.0,0.0,0.130309386,0.118343713,0.355796422,0.632325275,0.042638751,0.0,0.469189218
1464,0.400463035,0.946846394,0.11450936,0.0,0.0,0.0,0.129616495,0.315338516,0.681356211,0.001111183,0.0,0.428965245
1469,0.205835163,0.364215933,0.080276791,0.0,0.0,0.0,0.113808541,0.553705242,0.617353344,0.014074527,0.0,0.268372296
1472,0.868246509,0.311630507,0.082146398,0.0,0.0,0.013462557,0.249890256,0.372474365,0.706758704,0.0,0.0,0.243745788
1473,0.210535361,0.270904402,0.132937557,0.0,0.0,0.002137296,0.310889428,0.383757982,0.385255299,0.0,0.0,0.387122253
1475,0.32009774,0.273863297,0.116295007,0.0,0.0,0.0,0.240093563,0.330764434,0.34989997,0.0,0.0,0.280379391
1480,0.355757442,0.108738287,0.120260981,0.0,0.0,0.0,0.158813767,0.345543997,0.561371596,0.0,0.0,0.306611655
1488,0.141283184,0.321056951,0.145713188,0.0,0.0,0.0,0.298092835,0.410790624,0.683037574,0.014665258,0.0,0.379333831
