,ROC AUC,Average Precision,N features,CVS
STABL,"0.415 [0.187, 0.650]","0.520 [0.292, 0.773]","0.500 [0.000, 4.000]","0.000 [0.000, 0.000]"
SS 03,"0.520 [0.275, 0.778] (p=0.232)","0.573 [0.314, 0.857] (p=0.36)","5.000 [5.000, 5.000] (p=3.359e-61)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.520 [0.270, 0.788] (p=0.222)","0.573 [0.319, 0.864] (p=0.352)","5.000 [5.000, 5.000] (p=3.359e-61)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.495 [0.364, 0.630] (p=0.325)","0.500 [0.269, 0.722] (p=0.443)","0.000 [0.000, 0.000] (p=5.251e-21)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso,"0.620 [0.333, 0.875] (p=0.047)","0.645 [0.390, 0.908] (p=0.134)","2.000 [2.000, 3.000] (p=8.925e-09)","0.667 [0.500, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.640 [0.360, 0.899] (p=0.043)","0.590 [0.362, 0.929] (p=0.264)","2.000 [2.000, 3.000] (p=1.307e-07)","0.667 [0.500, 1.000] (p=0.000e+00)"
ElasticNet,"0.730 [0.485, 0.938] (p=0.006)","0.777 [0.503, 0.947] (p=0.016)","3.000 [3.000, 4.000] (p=5.876e-18)","0.750 [0.667, 1.000] (p=0.000e+00)"
