,Fold selected features,Fold nb of features
Fold 103,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 104,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 105,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 106,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 107,"['CREB', 'NFkB', 'Frequency']",3
Fold 108,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 109,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 110,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 111,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 112,"['CREB', 'Frequency']",2
Fold 113,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 114,"['CREB', 'NFkB', 'Frequency']",3
Fold 115,"['CREB', 'NFkB', 'Frequency']",3
Fold 116,"['CREB', 'Frequency']",2
Fold 117,"['CREB', 'Frequency']",2
Fold 118,"['CREB', 'IkB', 'Frequency']",3
Fold 119,"['CREB', 'Frequency']",2
Fold 120,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 121,"['CREB', 'NFkB', 'Frequency']",3
Fold 122,"['CREB', 'IkB', 'Frequency']",3
Fold 123,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 124,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 125,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 126,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 127,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 128,"['CREB', 'NFkB', 'Frequency']",3
Fold 129,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 130,"['CREB', 'Frequency']",2
Fold 131,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 132,"['CREB', 'Frequency']",2
Fold 133,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 134,"['CREB', 'Frequency']",2
Fold 135,"['CREB', 'NFkB', 'Frequency']",3
Fold 136,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 137,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 138,"['CREB', 'NFkB', 'Frequency']",3
Fold 139,"['CREB', 'Frequency']",2
Fold 140,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 141,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 142,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 143,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 144,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 145,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 146,"['CREB', 'NFkB', 'Frequency']",3
Fold 147,"['CREB', 'Frequency']",2
Fold 148,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 149,"['CREB', 'NFkB', 'Frequency']",3
Fold 150,"['CREB', 'NFkB', 'Frequency']",3
Fold 151,"['CREB', 'IkB', 'Frequency']",3
Fold 152,"['CREB', 'Frequency']",2
Fold 153,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 154,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 155,"['CREB', 'Frequency']",2
Fold 156,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 157,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 158,"['CREB', 'Frequency']",2
Fold 159,"['CREB', 'NFkB', 'Frequency']",3
Fold 160,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 161,"['CREB', 'Frequency']",2
Fold 162,"['CREB', 'NFkB', 'Frequency']",3
Fold 163,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 164,"['CREB', 'Frequency']",2
Fold 165,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 166,"['CREB', 'NFkB', 'Frequency']",3
Fold 167,"['CREB', 'NFkB', 'Frequency']",3
Fold 168,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 169,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 170,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 171,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 172,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 173,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 174,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 175,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 176,"['CREB', 'NFkB', 'Frequency']",3
Fold 177,"['CREB', 'Frequency']",2
Fold 178,"['CREB', 'IkB', 'Frequency']",3
Fold 179,"['CREB', 'Frequency']",2
Fold 180,"['CREB', 'NFkB', 'Frequency']",3
Fold 181,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 182,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 183,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 184,"['CREB', 'NFkB', 'Frequency']",3
Fold 185,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 186,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 187,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 188,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 189,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 190,"['CREB', 'IkB', 'Frequency']",3
Fold 191,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 192,"['CREB', 'NFkB', 'Frequency']",3
Fold 193,"['CREB', 'Frequency']",2
Fold 194,"['CREB', 'Frequency']",2
Fold 195,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 196,"['CREB', 'Frequency']",2
Fold 197,"['CREB', 'NFkB', 'Frequency']",3
Fold 198,"['CREB', 'IkB', 'NFkB', 'Frequency']",4
Fold 199,"['CREB', 'Frequency']",2
