,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.450 [0.333, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",3.681e-01
SS 03,"0.460 [0.198, 0.740] (p=0.455)","0.486 [0.289, 0.807] (p=0.448)","5.000 [5.000, 5.000] (p=9.505e-87)","1.000 [1.000, 1.000] (p=0.000e+00)",7.913e-01
SS 05,"0.460 [0.192, 0.750] (p=0.481)","0.486 [0.272, 0.790] (p=0.434)","5.000 [5.000, 5.000] (p=3.552e-83)","1.000 [1.000, 1.000] (p=0.000e+00)",7.913e-01
SS 08,"0.485 [0.300, 0.670] (p=0.493)","0.507 [0.316, 0.750] (p=0.463)","0.000 [0.000, 0.000] (p=4.264e-06)","0.000 [0.000, 0.000] (p=3.746e-147)",9.139e-01
Lasso,"0.490 [0.200, 0.800] (p=0.425)","0.478 [0.287, 0.828] (p=0.425)","1.000 [1.000, 2.000] (p=9.507e-74)","0.500 [0.500, 1.000] (p=0.000e+00)",9.698e-01
Lasso 1SE,"0.530 [0.240, 0.823] (p=0.297)","0.512 [0.320, 0.836] (p=0.467)","1.000 [1.000, 2.000] (p=6.220e-74)","1.000 [0.500, 1.000] (p=0.000e+00)",8.501e-01
ElasticNet,"0.480 [0.208, 0.740] (p=0.43)","0.545 [0.303, 0.816] (p=0.347)","2.000 [2.000, 2.000] (p=4.281e-79)","1.000 [0.500, 1.000] (p=0.000e+00)",9.097e-01
