,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.530 [0.273, 0.813]","0.537 [0.319, 0.876]","1.000 [1.000, 1.250]","1.000 [0.333, 1.000]",8.501e-01
SS 03,"0.470 [0.202, 0.760] (p=0.279)","0.483 [0.292, 0.800] (p=0.132)","5.000 [5.000, 5.000] (p=1.805e-58)","1.000 [1.000, 1.000] (p=0.000e+00)",8.501e-01
SS 05,"0.470 [0.198, 0.729] (p=0.282)","0.483 [0.281, 0.796] (p=0.225)","5.000 [5.000, 5.000] (p=2.756e-53)","1.000 [0.800, 1.000] (p=0.000e+00)",8.501e-01
SS 08,"0.710 [0.465, 0.933] (p=0.024)","0.710 [0.406, 0.955] (p=0.035)","1.000 [1.000, 1.000] (p=5.599e-09)","1.000 [1.000, 1.000] (p=0.000e+00)",1.212e-01
Lasso,"0.570 [0.290, 0.833] (p=0.294)","0.589 [0.353, 0.864] (p=0.254)","3.000 [2.000, 3.000] (p=3.582e-21)","0.667 [0.500, 0.750] (p=0.000e+00)",6.232e-01
Lasso 1SE,"0.570 [0.293, 0.839] (p=0.29)","0.589 [0.327, 0.889] (p=0.253)","3.000 [2.000, 3.000] (p=1.591e-20)","0.667 [0.500, 0.667] (p=0.000e+00)",6.232e-01
ElasticNet,"0.620 [0.312, 0.875] (p=0.175)","0.608 [0.355, 0.888] (p=0.215)","4.000 [3.000, 4.250] (p=1.356e-36)","0.600 [0.500, 0.800] (p=3.055e-177)",3.847e-01
