,ROC AUC,Average Precision,N features,CVS
STABL,"0.780 [0.542, 0.970]","0.770 [0.514, 0.976]","6.000 [4.000, 10.000]","0.462 [0.364, 0.600]"
SS 03,"0.660 [0.390, 0.880] (p=0.218)","0.697 [0.405, 0.929] (p=0.334)","13.000 [11.750, 14.000] (p=8.645e-06)","0.699 [0.625, 0.786] (p=4.195e-26)"
SS 05,"0.760 [0.500, 0.948] (p=0.474)","0.793 [0.548, 0.963] (p=0.427)","11.000 [10.000, 11.000] (p=8.891e-04)","0.750 [0.649, 0.909] (p=3.053e-33)"
SS 08,"0.800 [0.576, 0.970] (p=0.451)","0.843 [0.623, 0.979] (p=0.249)","8.000 [7.000, 8.000] (p=4.208e-01)","0.764 [0.667, 0.875] (p=7.002e-34)"
Lasso,"0.540 [0.270, 0.792] (p=0.05)","0.558 [0.329, 0.884] (p=0.057)","10.000 [4.000, 11.250] (p=2.949e-01)","0.485 [0.273, 0.646] (p=5.871e-01)"
Lasso 1SE,"0.530 [0.264, 0.800] (p=0.043)","0.601 [0.332, 0.889] (p=0.103)","10.000 [3.750, 11.250] (p=3.553e-01)","0.464 [0.250, 0.661] (p=2.258e-01)"
ElasticNet,"0.640 [0.374, 0.879] (p=0.148)","0.682 [0.403, 0.922] (p=0.29)","11.000 [5.750, 15.000] (p=1.056e-02)","0.528 [0.364, 0.688] (p=4.628e-02)"
