,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.450 [0.333, 0.500]","0.500 [0.250, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",3.681e-01
SS 03,"0.380 [0.135, 0.660] (p=0.32)","0.460 [0.258, 0.783] (p=0.355)","6.000 [6.000, 7.000] (p=7.684e-63)","0.857 [0.857, 1.000] (p=0.000e+00)",3.847e-01
SS 05,"0.380 [0.135, 0.640] (p=0.372)","0.460 [0.253, 0.772] (p=0.338)","6.000 [6.000, 6.000] (p=4.594e-69)","1.000 [1.000, 1.000] (p=0.000e+00)",3.847e-01
SS 08,"0.140 [0.031, 0.281] (p=0.006)","0.368 [0.208, 0.596] (p=0.019)","0.000 [0.000, 1.000] (p=9.344e-17)","0.000 [0.000, 0.000] (p=0.000e+00)",3.309e-03
Lasso,"0.230 [0.077, 0.440] (p=0.029)","0.422 [0.225, 0.684] (p=0.03)","0.000 [0.000, 8.000] (p=2.909e-19)","0.000 [0.000, 0.000] (p=0.000e+00)",2.832e-02
Lasso 1SE,"0.230 [0.073, 0.429] (p=0.039)","0.422 [0.242, 0.667] (p=0.035)","0.000 [0.000, 8.000] (p=2.909e-19)","0.000 [0.000, 0.000] (p=0.000e+00)",2.832e-02
ElasticNet,"0.180 [0.030, 0.414] (p=0.042)","0.374 [0.213, 0.633] (p=0.035)","0.000 [0.000, 6.250] (p=1.415e-10)","0.000 [0.000, 0.000] (p=0.000e+00)",1.726e-02
