,ROC AUC,Average Precision,N features,CVS
STABL,"0.480 [0.227, 0.750]","0.525 [0.268, 0.856]","2.000 [1.000, 4.000]","0.400 [0.000, 0.667]"
SS 03,"0.500 [0.232, 0.788] (p=0.226)","0.551 [0.300, 0.861] (p=0.128)","5.000 [5.000, 5.000] (p=2.380e-60)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.500 [0.250, 0.773] (p=0.221)","0.551 [0.333, 0.867] (p=0.112)","5.000 [5.000, 5.000] (p=4.015e-56)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.530 [0.271, 0.835] (p=0.085)","0.564 [0.314, 0.907] (p=0.124)","1.500 [1.000, 2.000] (p=2.059e-09)","0.500 [0.333, 1.000] (p=0.000e+00)"
Lasso,"0.560 [0.292, 0.823] (p=0.155)","0.565 [0.331, 0.915] (p=0.284)","2.000 [2.000, 2.000] (p=2.075e-02)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.560 [0.293, 0.844] (p=0.169)","0.565 [0.333, 0.913] (p=0.277)","2.000 [2.000, 2.000] (p=2.662e-03)","1.000 [0.500, 1.000] (p=0.000e+00)"
ElasticNet,"0.640 [0.340, 0.917] (p=0.076)","0.705 [0.425, 0.942] (p=0.124)","2.000 [2.000, 2.000] (p=8.226e-03)","1.000 [1.000, 1.000] (p=0.000e+00)"
