,ROC AUC,Average Precision,N features,CVS
STABL,"0.505 [0.267, 0.738]","0.553 [0.284, 0.787]","0.000 [0.000, 5.000]","0.000 [0.000, 0.000]"
SS 03,"0.860 [0.640, 1.000] (p=0.001)","0.917 [0.743, 1.000] (p=0.0)","14.500 [14.000, 16.000] (p=4.013e-08)","0.737 [0.556, 0.812] (p=1.678e-67)"
SS 05,"0.850 [0.635, 1.000] (p=0.004)","0.904 [0.742, 1.000] (p=0.0)","12.000 [11.000, 13.000] (p=4.795e-08)","0.714 [0.565, 0.796] (p=5.490e-68)"
SS 08,"0.510 [0.230, 0.780] (p=0.506)","0.665 [0.385, 0.873] (p=0.199)","5.000 [4.750, 5.000] (p=7.641e-03)","0.571 [0.429, 0.667] (p=2.427e-64)"
Lasso,"0.920 [0.781, 1.000] (p=0.0)","0.930 [0.784, 1.000] (p=0.0)","17.000 [15.750, 18.250] (p=1.250e-07)","0.650 [0.565, 0.750] (p=3.339e-65)"
Lasso 1SE,"0.890 [0.720, 1.000] (p=0.0)","0.912 [0.740, 1.000] (p=0.003)","18.000 [16.750, 19.000] (p=1.328e-07)","0.636 [0.539, 0.734] (p=7.390e-65)"
ElasticNet,"0.910 [0.729, 1.000] (p=0.0)","0.937 [0.799, 1.000] (p=0.004)","72.000 [57.750, 105.500] (p=4.458e-08)","0.575 [0.465, 0.693] (p=5.341e-65)"
