"","x"
"1",-101
"2",-51
"3",-37
"4",-61
"5",-28
"6",-8
"7",-63
"8",-35
"9",-14
"10",-99
"11",-60
"12",-32
"13",-73
"14",-18
"15",-48
"16",-20
"17",-9
"18",-98
"19",-70
"20",-36
"21",-94
"22",-65
"23",-34
"24",-51
"25",-37
"26",-19
"27",-16
"28",-3
"29",-82
"30",-54
"31",-26
"32",-89
"33",-61
"34",-29
"35",-86
"36",-38
"37",-23
"38",-95
"39",-60
"40",-35
"41",-71
"42",-57
"43",-23
"44",-85
"45",-57
"46",-43
"47",-66
"48",-46
"49",-24
"50",-75
"51",-48
"52",-21
"53",-53
"54",-34
"55",-20
"56",-102
"57",-81
"58",-15
"59",-37
"60",-23
"61",-2
"62",-90
"63",-30
"64",-17
"65",-78
"66",-50
"67",-7
"68",-86
"69",-68
"70",-24
"71",-90
"72",-69
"73",-25
"74",-96
"75",-64
"76",-12
"77",-106
"78",-83
"79",-16
"80",-91
"81",-18
"82",-11
"83",-68
"84",-24
"85",-10
"86",-81
"87",-41
"88",-13
"89",-46
"90",-17
"91",-4
"92",-94
"93",-18
"94",-11
"95",-108
"96",-25
"97",-10
"98",-44
"99",-87
"100",-31
"101",-10
"102",-90
"103",-11
"104",-5
"105",-84
"106",-16
"107",-2
"108",-69
"109",-15
"110",-1
"111",-79
"112",-5
"113",-52
"114",-7
"115",-89
"116",-20
"117",-6
"118",-113
"119",-25
"120",-11
"121",-79
"122",-58
"123",-9
"124",-2
"125",-53
"126",-18
"127",-7
"128",-78
"129",-17
"130",-7
"131",-71
"132",-25
"133",-60
"134",-11
"135",-4
"136",-64
"137",-11
"138",-4
"139",-82
"140",-8
"141",-1
"142",-93
"143",-24
"144",-9
"145",-106
"146",-7
"147",0
"148",-71
"149",-15
"150",-1
