population;reagent;Annotation 1;plate;sampleID;stimulation;time;median
Bcells;149Sm_pCREB;Surge;27;Surge;Unstim;IC;1,206426382
Bcells;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0
Bcells;151Eu_pp38;Surge;27;Surge;Unstim;IC;0
Bcells;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
Bcells;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;0
Bcells;155Gd_pS6;Surge;27;Surge;Unstim;IC;7,544810295
Bcells;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,778932512
Bcells;164Dy_IkB;Surge;27;Surge;Unstim;IC;2,925972104
Bcells;166Er_pNFkB;Surge;27;Surge;Unstim;IC;14,30714798
Bcells;167Er_pERK12;Surge;27;Surge;Unstim;IC;0,720337719
Bcells;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
cMC;149Sm_pCREB;Surge;27;Surge;Unstim;IC;6,320563316
cMC;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,737192154
cMC;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,496836513
cMC;153Eu_pSTAT1;Surge;27;Surge;Unstim;IC;0
cMC;154Sm_pSTAT3;Surge;27;Surge;Unstim;IC;1,065970182
cMC;155Gd_pS6;Surge;27;Surge;Unstim;IC;5,687941551
cMC;159Tb_pMAPKAPK2;Surge;27;Surge;Unstim;IC;1,789334893
cMC;164Dy_IkB;Surge;27;Surge;Unstim;IC;5,426528454
cMC;166Er_pNFkB;Surge;27;Surge;Unstim;IC;8,719449043
cMC;167Er_pERK12;Surge;27;Surge;Unstim;IC;1,099034429
cMC;168Yb_pSTAT6;Surge;27;Surge;Unstim;IC;0
cMC_CD14posCD16negCCR2pos;149Sm_pCREB;Surge;27;Surge;Unstim;IC;6,403394699
cMC_CD14posCD16negCCR2pos;150Nd_pSTAT5;Surge;27;Surge;Unstim;IC;0,754159927
cMC_CD14posCD16negCCR2pos;151Eu_pp38;Surge;27;Surge;Unstim;IC;0,50846678
