,ROC AUC,Average Precision,N features,CVS
STABL,"0.380 [0.202, 0.577]","0.508 [0.269, 0.733]","0.000 [0.000, 0.750]","0.000 [0.000, 0.000]"
SS 03,"0.470 [0.182, 0.738] (p=0.316)","0.596 [0.319, 0.855] (p=0.228)","12.500 [11.750, 13.000] (p=2.592e-08)","0.562 [0.471, 0.625] (p=7.083e-63)"
SS 05,"0.465 [0.208, 0.747] (p=0.308)","0.564 [0.305, 0.841] (p=0.35)","5.000 [4.000, 6.000] (p=2.862e-06)","0.444 [0.333, 0.600] (p=2.072e-61)"
SS 08,"0.360 [0.220, 0.500] (p=0.481)","0.453 [0.242, 0.685] (p=0.369)","0.000 [0.000, 0.000] (p=2.956e-01)","0.000 [0.000, 0.000] (p=6.263e-03)"
Lasso,"0.175 [0.055, 0.318] (p=0.033)","0.387 [0.210, 0.612] (p=0.068)","0.000 [0.000, 5.750] (p=2.106e-01)","0.000 [0.000, 0.000] (p=6.506e-03)"
Lasso 1SE,"0.240 [0.101, 0.375] (p=0.115)","0.408 [0.221, 0.659] (p=0.144)","0.000 [0.000, 4.500] (p=4.597e-01)","0.000 [0.000, 0.000] (p=3.688e-01)"
ElasticNet,"0.300 [0.081, 0.563] (p=0.297)","0.423 [0.249, 0.730] (p=0.213)","0.000 [0.000, 2.000] (p=4.628e-01)","0.000 [0.000, 0.000] (p=8.418e-02)"
