,ROC AUC,Average Precision,N features,CVS
STABL,"0.480 [0.229, 0.750]","0.498 [0.316, 0.803]","5.500 [0.000, 15.500]","0.000 [0.000, 0.272]"
SS 03,"0.520 [0.240, 0.788] (p=0.4)","0.670 [0.389, 0.878] (p=0.123)","16.000 [15.000, 17.000] (p=6.989e-03)","0.500 [0.409, 0.598] (p=1.944e-45)"
SS 05,"0.560 [0.280, 0.802] (p=0.343)","0.654 [0.345, 0.880] (p=0.158)","10.000 [8.750, 11.000] (p=1.683e-01)","0.500 [0.357, 0.583] (p=1.022e-42)"
SS 08,"0.260 [0.061, 0.495] (p=0.036)","0.404 [0.238, 0.697] (p=0.089)","4.000 [3.000, 4.000] (p=4.188e-01)","0.333 [0.200, 0.500] (p=4.175e-28)"
Lasso,"0.190 [0.048, 0.375] (p=0.03)","0.379 [0.219, 0.634] (p=0.113)","1.000 [0.000, 12.500] (p=3.068e-01)","0.000 [0.000, 0.000] (p=2.618e-03)"
Lasso 1SE,"0.180 [0.042, 0.365] (p=0.018)","0.374 [0.205, 0.614] (p=0.099)","0.500 [0.000, 12.750] (p=3.070e-01)","0.000 [0.000, 0.000] (p=2.288e-03)"
ElasticNet,"0.360 [0.093, 0.643] (p=0.19)","0.519 [0.274, 0.778] (p=0.454)","8.500 [2.250, 81.500] (p=8.280e-02)","0.067 [0.000, 0.293] (p=2.717e-03)"
