,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.610 [0.340, 0.875]","0.639 [0.386, 0.941]","3.000 [2.000, 7.000]","0.429 [0.286, 1.000]",4.274e-01
SS 03,"0.460 [0.202, 0.750] (p=0.089)","0.495 [0.289, 0.819] (p=0.085)","7.000 [7.000, 7.000] (p=4.406e-31)","1.000 [0.857, 1.000] (p=0.000e+00)",7.910e-01
SS 05,"0.760 [0.525, 0.973] (p=0.136)","0.689 [0.451, 0.984] (p=0.32)","5.000 [4.000, 5.000] (p=1.667e-02)","0.800 [0.800, 1.000] (p=0.000e+00)",5.390e-02
SS 08,"0.560 [0.267, 0.828] (p=0.346)","0.608 [0.361, 0.899] (p=0.447)","1.000 [1.000, 1.000] (p=2.329e-50)","1.000 [0.500, 1.000] (p=0.000e+00)",6.776e-01
Lasso,"0.630 [0.344, 0.875] (p=0.401)","0.651 [0.374, 0.912] (p=0.463)","5.000 [4.750, 6.000] (p=6.556e-02)","0.714 [0.250, 0.833] (p=1.517e-30)",3.447e-01
Lasso 1SE,"0.630 [0.354, 0.859] (p=0.413)","0.651 [0.399, 0.909] (p=0.472)","5.000 [4.000, 6.000] (p=7.252e-02)","0.667 [0.250, 0.833] (p=8.441e-19)",3.447e-01
ElasticNet,"0.640 [0.364, 0.875] (p=0.394)","0.628 [0.402, 0.924] (p=0.444)","5.000 [4.000, 6.000] (p=5.520e-03)","0.714 [0.571, 0.857] (p=3.044e-140)",3.075e-01
