,CREB,STAT5,p38,NFkB,ERK,STAT6,MAPKAPK2,STAT1,STAT3,S6,IkB,Frequency
1326,0.011138219000000005,-0.051469585999999956,0.0,0.09848454500000003,-0.003572065000000013,-0.012904981000000038,0.015152922,0.0,0.22355934199999997,0.03678155400000001,0.064277417,0.7602228920000003
1330,-0.0021545149999999957,-0.008036374000000013,0.0,-0.0019791860000000217,-0.023273922000000002,-0.02887628600000003,0.007831361999999994,0.0,0.13608977900000002,0.010752003999999996,-2.68800000000069e-05,0.9845466000000007
1331,0.036916207000000006,-0.11634082699999998,0.0,0.15168374099999982,0.007909380999999993,0.03750229999999999,-0.039151564,0.0,0.507518736,0.030799954000000004,0.10590244799999998,-3.575560041
1337,0.102232715,0.049606682999999985,0.0,-0.04461982099999995,0.010426838999999966,0.04280916400000001,0.0015797979999999934,0.0,-0.18899480600000002,0.024255607000000005,-0.018051711999999998,-0.1883136219999999
1357,0.09634668700000001,-0.010235529000000021,0.0,0.08469783399999997,-0.01189427500000001,0.023006652000000016,0.015658607000000005,0.0,0.0,0.019145060000000005,0.042016445999999985,-1.1324545299999995
1377,0.041395234,-0.004903258999999993,0.0,0.0017117559999999532,-0.036576370999999996,0.07336571800000002,-0.08896178100000002,0.0,0.047182368000000086,0.020154830000000012,-0.020110885000000023,0.10772242900000006
1381,0.146735889,-0.108728991,0.0,0.007913661000000127,0.019481807000000018,0.004942713000000043,-0.0032985989999999993,0.0,-0.015997536000000007,0.0033622009999999952,0.03884690000000002,0.09281302800000013
1400,-0.055100512000000004,0.009639467999999984,0.0,0.03540784600000002,0.021519283999999972,0.016658618000000014,0.015095457999999992,0.0,0.0,0.026617803000000002,0.031104438999999984,-0.14292273800000022
1414,-0.311259856,0.10851844999999999,-0.786079784,-0.1255095559999999,0.08511210600000002,0.13196074300000005,-0.525786491,0.0,0.024603961000000008,-0.199384462,-0.872042364,-1.819060177
1418,-0.004189959000000021,-0.11239195999999996,0.0,0.10291256599999987,-0.022728031000000037,-0.03532738899999999,0.009161084000000014,0.0,0.015190948,0.014306547000000003,0.029310549000000075,0.29107512400000024
1427,0.033785551999999996,-0.009232153999999992,0.0,0.04349823600000002,-0.013034986999999998,0.0018596490000000188,0.008637828,0.0,0.014570422000000006,0.021022256000000003,0.01819926799999999,0.6811869809999997
1428,0.04240413,-0.03378602999999991,0.0,0.07851048000000005,0.024810902000000024,0.03186261899999998,-0.005610531000000002,0.0,0.15896179100000002,0.021639102999999993,0.06592648000000001,-0.6392666790000003
1431,-0.12717703899999996,0.012970727999999987,0.0,0.06409242400000004,-0.01480440500000002,-0.006769687999999996,0.009534563999999995,0.0,-0.01634701700000002,0.0014770610000000017,0.027311319999999972,-0.28234033599999986
1464,0.545957956,0.46663303999999994,0.062415636,0.05910423499999995,0.022882917000000003,0.11738161800000002,-0.004064461999999991,0.0,0.04734456200000001,0.012127340999999986,0.029032367000000003,-0.8605160549999997
1469,0.23526885500000003,0.11008747399999996,0.018048547,-0.05570462399999987,0.01625101999999995,0.02797661600000001,0.0032717859999999988,0.0,-0.37538782000000004,0.013507959000000014,0.07882961700000002,0.4230181430000002
1472,0.17876616599999998,-0.03783802400000001,0.0,0.2455229440000002,0.05579782500000002,0.0917746949999999,0.029635645999999995,0.0,0.0,0.06061477500000001,0.127342849,2.25903121
1473,0.007562348999999996,0.09678197900000002,0.0,0.01726234499999979,0.01003627800000001,0.01699543800000003,0.031493618,0.0,-0.001911581,-0.0014976400000000223,0.09443928499999998,-1.22720259
1475,-0.09740221599999999,0.019528647999999982,0.0,-0.13431693600000005,-0.012955751999999987,-0.04394311499999992,0.009686284999999996,0.0,-0.130655822,0.0014500470000000099,-0.031826821000000005,0.37255350600000003
1480,-0.025908714,0.004284277000000003,0.0,-0.025594802999999944,-0.01863842800000004,0.028650302000000072,-0.015617655999999994,0.0,0.0017098599999999936,0.00517267099999999,-0.0035938580000000053,0.2741403910000004
1488,-0.030055438000000018,0.00010110900000004364,0.0,-0.13636007099999992,0.000755662999999962,0.02024200899999995,-0.04527966,0.0,0.089271181,-0.028855271000000016,-0.05233816000000002,-0.6785836400000003
