,ROC AUC,Average Precision,N features,CVS
STABL,"0.550 [0.280, 0.798]","0.629 [0.354, 0.883]","5.000 [3.750, 7.500]","0.333 [0.204, 0.465]"
SS 03,"0.870 [0.666, 1.000] (p=0.037)","0.922 [0.772, 1.000] (p=0.052)","13.500 [13.000, 14.000] (p=1.424e-06)","0.733 [0.627, 0.800] (p=4.588e-51)"
SS 05,"0.580 [0.283, 0.835] (p=0.444)","0.659 [0.397, 0.893] (p=0.46)","6.000 [5.000, 6.000] (p=4.917e-01)","0.571 [0.444, 0.667] (p=1.024e-24)"
SS 08,"0.225 [0.066, 0.412] (p=0.036)","0.399 [0.210, 0.628] (p=0.046)","0.000 [0.000, 1.000] (p=6.301e-07)","0.000 [0.000, 0.000] (p=3.103e-46)"
Lasso,"0.840 [0.604, 1.000] (p=0.034)","0.901 [0.722, 1.000] (p=0.06)","17.000 [15.000, 18.250] (p=6.992e-07)","0.636 [0.500, 0.747] (p=3.974e-27)"
Lasso 1SE,"0.810 [0.562, 0.980] (p=0.05)","0.866 [0.658, 1.000] (p=0.092)","16.500 [15.000, 19.000] (p=8.513e-07)","0.636 [0.500, 0.737] (p=1.070e-25)"
ElasticNet,"0.910 [0.733, 1.000] (p=0.015)","0.937 [0.830, 1.000] (p=0.038)","72.000 [57.000, 105.500] (p=6.523e-08)","0.577 [0.465, 0.689] (p=2.457e-26)"
