,Spearman corr,pvalue
MAPKAPK2,-0.5896347792764016,0.006215713648387514
ERK,-0.5376081811049543,0.014495538334615365
S6,0.45089718415254243,0.04600809554004641
STAT3,0.3468439878096479,0.13407612120334217
Frequency,0.260132990857236,0.268013467258769
STAT6,-0.24463713586509064,0.2985687521336668
CREB,-0.1387375951238592,0.5596674186533706
NFkB,-0.1387375951238592,0.5596674186533706
STAT5,-0.0693687975619296,0.7713562200019073
p38,-0.0173421993904824,0.9421499835467455
IkB,0.0173421993904824,0.9421499835467455
STAT1,,
