,ROC AUC,Average Precision,N features,CVS
STABL,"0.570 [0.297, 0.818]","0.663 [0.403, 0.884]","4.000 [2.000, 4.000]","0.600 [0.400, 0.800]"
SS 03,"0.560 [0.281, 0.820] (p=0.476)","0.598 [0.369, 0.886] (p=0.362)","5.000 [5.000, 5.000] (p=1.539e-48)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.560 [0.264, 0.845] (p=0.495)","0.598 [0.351, 0.895] (p=0.371)","5.000 [5.000, 5.000] (p=1.539e-48)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.640 [0.374, 0.899] (p=0.052)","0.700 [0.419, 0.923] (p=0.119)","2.500 [2.000, 3.000] (p=6.659e-11)","0.667 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.610 [0.333, 0.875] (p=0.363)","0.636 [0.391, 0.927] (p=0.421)","1.000 [1.000, 1.000] (p=4.254e-33)","1.000 [0.500, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.600 [0.330, 0.870] (p=0.373)","0.624 [0.387, 0.914] (p=0.371)","1.000 [1.000, 1.000] (p=2.165e-36)","1.000 [1.000, 1.000] (p=0.000e+00)"
ElasticNet,"0.610 [0.312, 0.857] (p=0.34)","0.723 [0.444, 0.918] (p=0.31)","1.000 [1.000, 2.000] (p=4.281e-34)","0.500 [0.500, 1.000] (p=0.000e+00)"
