,ROC AUC,Average Precision,N features,CVS
STABL,"0.385 [0.101, 0.667]","0.543 [0.283, 0.828]","7.000 [3.000, 8.000]","0.375 [0.250, 0.500]"
SS 03,"0.860 [0.625, 1.000] (p=0.002)","0.917 [0.757, 1.000] (p=0.007)","15.000 [14.000, 16.000] (p=2.991e-07)","0.722 [0.561, 0.797] (p=3.118e-41)"
SS 05,"0.840 [0.607, 1.000] (p=0.001)","0.902 [0.715, 1.000] (p=0.008)","12.000 [11.000, 13.000] (p=4.016e-05)","0.688 [0.562, 0.786] (p=1.087e-38)"
SS 08,"0.550 [0.253, 0.818] (p=0.098)","0.678 [0.415, 0.887] (p=0.123)","5.000 [5.000, 5.000] (p=7.578e-02)","0.600 [0.429, 0.667] (p=1.176e-23)"
Lasso,"0.860 [0.660, 1.000] (p=0.0)","0.877 [0.682, 1.000] (p=0.015)","16.000 [15.000, 18.250] (p=9.787e-07)","0.632 [0.500, 0.722] (p=3.387e-24)"
Lasso 1SE,"0.840 [0.610, 1.000] (p=0.001)","0.881 [0.692, 1.000] (p=0.009)","17.000 [15.750, 19.250] (p=8.645e-07)","0.636 [0.519, 0.722] (p=7.301e-24)"
ElasticNet,"0.910 [0.729, 1.000] (p=0.001)","0.937 [0.800, 1.000] (p=0.004)","72.000 [57.750, 105.500] (p=6.597e-08)","0.575 [0.465, 0.690] (p=3.402e-23)"
