,Mann-Whitney U-test,p-value
CD8Trm_p38,45.0,0.36812025069351895
Bcells_STAT6,55.0,0.36812025069351895
CD8Tem_p38,45.0,0.36812025069351895
gdTcells_p38,55.0,0.36812025069351895
Tregnaive_STAT1,45.0,0.36812025069351895
CD62LnAgedNeutrophils_STAT1,55.0,0.36812025069351895
CD56brightCD16nNKcells_p38,45.0,0.36812025069351895
CD56dimCD16pNKcells_STAT6,55.0,0.36812025069351895
CD4Tnaive_p38,55.0,0.36812025069351895
CD4Trm_p38,55.0,0.36812025069351895
CD4Tcm_MAPKAPK2,62.0,0.3846730627355087
gdTcells_IkB,62.0,0.3846730627355087
CCR2nncMC_NFkB,62.0,0.3846730627355087
CD4Tnaive_ERK,38.0,0.3846730627355087
CCR2nncMC_STAT5,62.0,0.3846730627355087
CD62LnAgedNeutrophils_p38,62.0,0.3846730627355087
CCR2nncMC_p38,61.0,0.38494034320100334
CD41hiCD61hiPLT_STAT3,58.5,0.38701255487244757
CD4Tem_p38,58.5,0.38701255487244757
CD4Trm_STAT3,61.5,0.39028890367052815
CD62LpImmatureNeutrophils_p38,61.0,0.4256100315999112
CD8Tcm_ERK,39.0,0.4273553138978077
Tregnaive_STAT3,39.0,0.4273553138978077
CD8Trm_IkB,61.0,0.4273553138978077
Tregmem_STAT3,39.0,0.4273553138978077
CD8Tnaive_CREB,39.0,0.4273553138978077
CCR2pcMC_STAT5,61.0,0.4273553138978077
CD62LnAgedNeutrophils_STAT3,39.0,0.4273553138978077
pDC_ERK,60.5,0.44952132576702597
CD8Tnaive_MAPKAPK2,60.0,0.47267559351158717
intMC_p38,60.0,0.47267559351158717
CCR2pcMC_p38,60.0,0.47267559351158717
CD8Tem_STAT5,60.0,0.47267559351158717
CD8Tcm_Frequency,60.0,0.47267559351158717
CD8Trm_ERK,40.0,0.47267559351158717
NKT_IkB,60.0,0.47267559351158717
Th1naive_STAT6,40.0,0.47267559351158717
CD62LpImmatureNeutrophils_CREB,60.0,0.47267559351158717
CD4Tcm_IkB,40.0,0.47267559351158717
Bcells_MAPKAPK2,40.0,0.47267559351158717
Bcells_p38,42.0,0.48456525038588005
CD4Trm_STAT6,41.0,0.5205228832757727
CD8Tnaive_Frequency,59.0,0.5205228832757727
pDC_NFkB,41.0,0.5205228832757727
CD8Tcm_CREB,41.0,0.5205228832757727
CD56dimCD16pNKcells_IkB,59.0,0.5205228832757727
NKT_Frequency,41.0,0.5205228832757727
CD56dimCD16pNKcells_MAPKAPK2,41.0,0.5205228832757727
Tregmem_IkB,41.0,0.5205228832757727
CD4Tem_IkB,41.0,0.5205228832757727
Bcells_NFkB,59.0,0.5205228832757727
CD62LnAgedNeutrophils_STAT6,58.5,0.5451985101800713
CD61pCD41pPLT_CREB,58.0,0.5580464825811369
MDSC_CREB,58.0,0.5707503880581739
Tregnaive_ERK,58.0,0.5707503880581739
CD4Tcm_Frequency,58.0,0.5707503880581739
intMC_NFkB,58.0,0.5707503880581739
MDSC_NFkB,58.0,0.5707503880581739
CD4Tnaive_MAPKAPK2,58.0,0.5707503880581739
CD56brightCD16nNKcells_Frequency,42.0,0.5707503880581739
CD8Tcm_STAT5,58.0,0.5707503880581739
CD8Tem_ERK,42.0,0.5707503880581739
CD4Trm_ERK,58.0,0.5707503880581739
CD8Tcm_STAT3,57.0,0.6185196626370502
CD61pCD41pPLT_IkB,57.0,0.622652636570054
CCR2pcMC_IkB,57.0,0.6231762238821174
NKT_NFkB,43.0,0.6231762238821174
Tregmem_CREB,57.0,0.6231762238821174
mDC_CREB,57.0,0.6231762238821174
CD56brightCD16nNKcells_CREB,57.0,0.6231762238821174
CCR2pcMC_CREB,57.0,0.6231762238821174
CD4Tem_ERK,43.0,0.6231762238821174
Bcells_STAT5,45.0,0.6548256938652379
Tregmem_p38,54.0,0.6704052955096476
CD8Tcm_p38,54.0,0.6704052955096476
mDC_STAT6,54.0,0.6704052955096476
intMC_STAT5,56.0,0.6775849579524755
mDC_STAT5,56.0,0.6775849579524755
intMC_CREB,56.0,0.6775849579524755
CD62LnAgedNeutrophils_CREB,56.0,0.6775849579524755
Tregnaive_STAT6,44.0,0.6775849579524755
