,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.600 [0.333, 0.833]","0.625 [0.389, 0.867]","0.000 [0.000, 3.000]","0.000 [0.000, 0.000]",3.760e-01
SS 03,"0.210 [0.030, 0.441] (p=0.001)","0.378 [0.214, 0.647] (p=0.0)","3.000 [3.000, 3.000] (p=1.213e-48)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 05,"0.210 [0.033, 0.452] (p=0.002)","0.378 [0.220, 0.636] (p=0.0)","3.000 [3.000, 3.000] (p=1.213e-48)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
SS 08,"0.210 [0.033, 0.455] (p=0.0)","0.378 [0.213, 0.636] (p=0.0)","3.000 [3.000, 3.000] (p=1.213e-48)","1.000 [1.000, 1.000] (p=0.000e+00)",3.121e-02
Lasso,"0.450 [0.333, 0.500] (p=0.141)","0.476 [0.269, 0.700] (p=0.03)","0.000 [0.000, 0.000] (p=3.675e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",3.681e-01
Lasso 1SE,"0.450 [0.333, 0.500] (p=0.142)","0.476 [0.269, 0.685] (p=0.026)","0.000 [0.000, 0.000] (p=3.675e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",3.681e-01
ElasticNet,"0.350 [0.132, 0.615] (p=0.095)","0.432 [0.262, 0.748] (p=0.038)","0.000 [0.000, 0.000] (p=3.675e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",2.730e-01
