,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_Frequency
Feature n°3,CCR2pcMC_Frequency
Feature n°4,CD4Tcm_Frequency
Feature n°5,CD4Tnaive_Frequency
Feature n°6,CD62LnAgedNeutrophils_p38
Feature n°7,CD62LnAgedNeutrophils_S6
Feature n°8,CD62LpImmatureNeutrophils_S6
Feature n°9,CD62LpImmatureNeutrophils_Frequency
Feature n°10,CD8Tem_Frequency
Feature n°11,CD8Tnaive_Frequency
Feature n°12,CD8Trm_Frequency
Feature n°13,gdTcells_Frequency
Feature n°14,intMC_Frequency
Feature n°15,MDSC_Frequency
