,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.630 [0.343, 0.886]","0.748 [0.469, 0.939]","4.500 [2.750, 6.000]","0.500 [0.333, 0.833]",3.447e-01
SS 03,"0.610 [0.321, 0.886] (p=0.406)","0.718 [0.457, 0.927] (p=0.26)","6.000 [6.000, 6.000] (p=3.636e-37)","1.000 [1.000, 1.000] (p=0.000e+00)",4.274e-01
SS 05,"0.620 [0.343, 0.869] (p=0.44)","0.720 [0.460, 0.926] (p=0.237)","6.000 [6.000, 6.000] (p=2.873e-30)","1.000 [0.833, 1.000] (p=0.000e+00)",3.847e-01
SS 08,"0.710 [0.410, 0.948] (p=0.282)","0.809 [0.610, 0.960] (p=0.345)","1.000 [1.000, 1.000] (p=1.104e-56)","1.000 [1.000, 1.000] (p=0.000e+00)",1.212e-01
Lasso,"0.520 [0.230, 0.798] (p=0.162)","0.685 [0.391, 0.889] (p=0.251)","2.500 [1.000, 5.000] (p=2.392e-06)","0.500 [0.200, 0.833] (p=2.365e-50)",9.097e-01
Lasso 1SE,"0.530 [0.242, 0.798] (p=0.216)","0.678 [0.401, 0.890] (p=0.227)","2.500 [1.000, 5.000] (p=9.494e-07)","0.500 [0.200, 1.000] (p=1.167e-30)",8.501e-01
ElasticNet,"0.500 [0.239, 0.769] (p=0.093)","0.618 [0.355, 0.884] (p=0.052)","3.000 [1.750, 5.000] (p=1.281e-03)","0.500 [0.333, 0.833] (p=7.090e-48)",1.000e+00
