,Fold selected features,Fold nb of features
Fold 122,"['CREB', 'p38', 'Frequency']",3
Fold 123,"['CREB', 'p38', 'Frequency']",3
Fold 124,"['CREB', 'p38', 'Frequency']",3
Fold 125,"['CREB', 'p38', 'Frequency']",3
Fold 126,"['CREB', 'p38', 'Frequency']",3
Fold 127,"['CREB', 'p38', 'Frequency']",3
Fold 128,"['CREB', 'p38', 'Frequency']",3
Fold 129,"['CREB', 'p38', 'Frequency']",3
Fold 130,"['CREB', 'p38', 'Frequency']",3
Fold 131,"['CREB', 'p38', 'Frequency']",3
Fold 132,"['CREB', 'Frequency']",2
Fold 133,"['CREB', 'p38', 'Frequency']",3
Fold 134,"['CREB', 'p38', 'Frequency']",3
Fold 135,"['CREB', 'Frequency']",2
Fold 136,"['CREB', 'p38', 'Frequency']",3
Fold 137,"['CREB', 'p38', 'Frequency']",3
Fold 138,"['CREB', 'Frequency']",2
Fold 139,"['CREB', 'Frequency']",2
Fold 140,"['CREB', 'p38', 'Frequency']",3
Fold 141,"['CREB', 'p38', 'Frequency']",3
Fold 142,"['CREB', 'p38', 'Frequency']",3
Fold 143,"['CREB', 'p38', 'Frequency']",3
Fold 144,"['CREB', 'p38', 'Frequency']",3
Fold 145,"['CREB', 'p38', 'Frequency']",3
Fold 146,"['CREB', 'Frequency']",2
Fold 147,"['CREB', 'p38', 'Frequency']",3
Fold 148,"['CREB', 'p38', 'Frequency']",3
Fold 149,"['CREB', 'Frequency']",2
Fold 150,"['CREB', 'p38', 'Frequency']",3
Fold 151,"['CREB', 'p38', 'Frequency']",3
Fold 152,"['CREB', 'Frequency']",2
Fold 153,"['CREB', 'p38', 'Frequency']",3
Fold 154,"['CREB', 'p38', 'Frequency']",3
Fold 155,"['CREB', 'Frequency']",2
Fold 156,"['CREB', 'p38', 'Frequency']",3
Fold 157,"['CREB', 'p38', 'Frequency']",3
Fold 158,"['CREB', 'p38', 'Frequency']",3
Fold 159,"['CREB', 'p38', 'Frequency']",3
Fold 160,"['CREB', 'p38', 'Frequency']",3
Fold 161,"['CREB', 'p38', 'Frequency']",3
Fold 162,"['CREB', 'Frequency']",2
Fold 163,"['CREB', 'p38', 'Frequency']",3
Fold 164,"['CREB', 'Frequency']",2
Fold 165,"['CREB', 'p38', 'Frequency']",3
Fold 166,"['CREB', 'p38', 'Frequency']",3
Fold 167,"['CREB', 'Frequency']",2
Fold 168,"['CREB', 'p38', 'Frequency']",3
Fold 169,"['CREB', 'p38', 'Frequency']",3
Fold 170,"['CREB', 'p38', 'Frequency']",3
Fold 171,"['CREB', 'p38', 'Frequency']",3
Fold 172,"['CREB', 'p38', 'Frequency']",3
Fold 173,"['CREB', 'p38', 'Frequency']",3
Fold 174,"['CREB', 'p38', 'Frequency']",3
Fold 175,"['CREB', 'p38', 'Frequency']",3
Fold 176,"['CREB', 'p38', 'Frequency']",3
Fold 177,"['CREB', 'p38', 'Frequency']",3
Fold 178,"['CREB', 'p38', 'Frequency']",3
Fold 179,"['CREB', 'Frequency']",2
Fold 180,"['CREB', 'p38', 'Frequency']",3
Fold 181,"['CREB', 'p38', 'Frequency']",3
Fold 182,"['CREB', 'p38', 'Frequency']",3
Fold 183,"['CREB', 'p38', 'Frequency']",3
Fold 184,"['CREB', 'Frequency']",2
Fold 185,"['CREB', 'p38', 'Frequency']",3
Fold 186,"['CREB', 'p38', 'Frequency']",3
Fold 187,"['CREB', 'p38', 'Frequency']",3
Fold 188,"['CREB', 'p38', 'Frequency']",3
Fold 189,"['CREB', 'p38', 'Frequency']",3
Fold 190,"['CREB', 'p38', 'Frequency']",3
Fold 191,"['CREB', 'p38', 'Frequency']",3
Fold 192,"['CREB', 'Frequency']",2
Fold 193,"['CREB', 'p38', 'Frequency']",3
Fold 194,"['CREB', 'Frequency']",2
Fold 195,"['CREB', 'p38', 'Frequency']",3
Fold 196,"['CREB', 'Frequency']",2
Fold 197,"['CREB', 'p38', 'Frequency']",3
Fold 198,"['CREB', 'p38', 'Frequency']",3
Fold 199,"['CREB', 'p38', 'Frequency']",3
