,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.460 [0.190, 0.729]","0.519 [0.289, 0.816]","3.500 [2.000, 9.000]","0.250 [0.000, 0.667]",7.895e-01
SS 03,"0.690 [0.449, 0.920] (p=0.039)","0.604 [0.354, 0.902] (p=0.141)","9.000 [9.000, 9.000] (p=1.241e-30)","1.000 [0.889, 1.000] (p=0.000e+00)",1.426e-01
SS 05,"0.540 [0.250, 0.828] (p=0.209)","0.522 [0.316, 0.851] (p=0.502)","6.000 [6.000, 6.000] (p=6.333e-02)","1.000 [0.833, 1.000] (p=0.000e+00)",7.910e-01
SS 08,"0.290 [0.130, 0.500] (p=0.146)","0.428 [0.241, 0.663] (p=0.197)","0.000 [0.000, 1.000] (p=9.623e-47)","0.000 [0.000, 0.000] (p=0.000e+00)",6.901e-02
Lasso,"0.550 [0.260, 0.828] (p=0.245)","0.573 [0.331, 0.856] (p=0.338)","8.000 [7.750, 9.000] (p=7.378e-09)","0.889 [0.750, 1.000] (p=0.000e+00)",7.337e-01
Lasso 1SE,"0.550 [0.264, 0.820] (p=0.255)","0.573 [0.343, 0.851] (p=0.337)","8.000 [7.000, 9.000] (p=1.347e-08)","0.875 [0.750, 0.889] (p=0.000e+00)",7.337e-01
ElasticNet,"0.530 [0.253, 0.810] (p=0.28)","0.505 [0.315, 0.838] (p=0.458)","9.000 [8.000, 9.000] (p=5.346e-17)","0.889 [0.778, 1.000] (p=0.000e+00)",8.501e-01
