,ROC AUC,Average Precision,N features,CVS
STABL,"0.550 [0.500, 0.667]","0.550 [0.300, 0.764]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.460 [0.200, 0.727] (p=0.323)","0.592 [0.302, 0.842] (p=0.327)","13.000 [11.000, 13.000] (p=8.851e-09)","0.562 [0.480, 0.643] (p=1.193e-72)"
SS 05,"0.465 [0.210, 0.747] (p=0.297)","0.564 [0.310, 0.833] (p=0.46)","5.000 [4.000, 6.000] (p=2.304e-07)","0.444 [0.333, 0.600] (p=1.097e-72)"
SS 08,"0.360 [0.214, 0.500] (p=0.073)","0.453 [0.248, 0.685] (p=0.129)","0.000 [0.000, 0.000] (p=3.494e-01)","0.000 [0.000, 0.000] (p=3.199e-01)"
Lasso,"0.175 [0.054, 0.321] (p=0.003)","0.387 [0.219, 0.635] (p=0.013)","0.000 [0.000, 5.750] (p=1.010e-02)","0.000 [0.000, 0.000] (p=7.521e-08)"
Lasso 1SE,"0.240 [0.101, 0.400] (p=0.006)","0.408 [0.218, 0.643] (p=0.028)","0.000 [0.000, 4.500] (p=4.321e-02)","0.000 [0.000, 0.000] (p=8.009e-05)"
ElasticNet,"0.100 [0.000, 0.264] (p=0.0)","0.349 [0.205, 0.602] (p=0.014)","0.000 [0.000, 2.000] (p=2.017e-02)","0.000 [0.000, 0.000] (p=4.535e-06)"
