,Spearman corr,pvalue
MT-TH,0.576150915060025,1.927247578764442e-15
MT-TM,0.5282433991469375,8.310848649220127e-13
RNY3P1,0.5237608245585785,1.3978348408921949e-12
RPL23AP7,-0.5071281901782719,9.016224243413629e-12
TRIO,0.5052702043815974,1.1034890083192278e-11
MT-TR,0.5007876297932383,1.78768925198318e-11
RNA5SP387,0.4897523464773336,5.692720343181477e-11
MT-TS2,0.4895811933223408,5.794034273813061e-11
MTRNR2L8,0.488460549675251,6.501881772786236e-11
CDK10,0.4783007263477253,1.8142401101690194e-10
ACACB,0.47516035424565317,2.474656855415964e-10
MT-TV,0.47389218226308405,2.8026786070093247e-10
RNY1,0.469409607674725,4.334007094312894e-10
RNY4,0.4629659067039588,8.021995094135298e-10
Y_RNA.138,0.4615071762563061,9.205507089116655e-10
YWHAQP5,0.45556587511340463,1.6017105359475954e-09
RNA5SP149,0.4537205966154683,1.8982692731637207e-09
MT-TD,0.4534570204908897,1.9447318735952934e-09
MIRLET7D,0.4521597751125568,2.1898642119658506e-09
RNY3,0.45175947023306123,2.2713460432864115e-09
VTRNA1-1,0.4486777002035644,3.0043168688403136e-09
DPP10-AS1,0.4480099126904413,3.190850914305845e-09
Y_RNA.286,0.4464364129093849,3.675583597626435e-09
Y_RNA.201,0.4461257376564535,3.779343122745636e-09
MT-TC,0.44459445171156214,4.3334108574542565e-09
Y_RNA.74,0.44322150967961277,4.896101962254079e-09
RNA5SP338,0.44055303376216365,6.197719708077418e-09
RNA5SP335,0.4394323901150738,6.8385674355436485e-09
GPX1P1,0.4390546357582976,7.068627353253102e-09
RNA5S9,0.43201489755117756,1.2999965463248213e-08
Metazoa_SRP.56,0.4300421848661859,1.5382130773616205e-08
RPPH1,0.42598466634999665,2.1669876689684565e-08
RNA5SP74,0.4208082854227423,3.333620903825138e-08
RNA5SP267,0.420676994913235,3.369922368313351e-08
HNRNPA3P6,-0.4204615402194707,3.43031928520166e-08
RNA5SP202,0.4189806435556856,3.8744858824481736e-08
RPL34P34,-0.41821295726098234,4.125973008733313e-08
MT-TG,0.41658981116760746,4.710311034041654e-08
RNA5SP429,0.41381280152304245,5.898785331337855e-08
RNA5SP506,0.41113613802605725,7.313265170183236e-08
RNA5SP150,0.4100154943789675,7.997464826485077e-08
RNA5SP352,0.40833452890833283,9.140038072538963e-08
MT-TI,0.4062481802358913,1.07767611096314e-07
MIR142,-0.4041410658657034,1.2712960278849904e-07
RNA5SP259,0.404047830927604,1.280590907644863e-07
RP4-671O14.6,0.4023365958475121,1.4632082787718696e-07
THAP9-AS1,-0.40208771229980966,1.4917620227816136e-07
RNA5SP145,0.4020372101076134,1.497620778005746e-07
Y_RNA.361,0.40190826944371705,1.5126793045500875e-07
Y_RNA.218,0.4013694535159348,1.577189504896924e-07
RNA5SP141,0.4007701842904769,1.6520310049702326e-07
RNA5SP290,0.3995157223787154,1.8198592284540602e-07
DDX46,-0.3987178021206937,1.93497400311971e-07
GOLGA5P1,-0.3982747464752814,2.00186945770484e-07
RNA5SP99,0.3976884142609801,2.0938072677905254e-07
RNA5SP481,0.39391241631449786,2.7901446070852987e-07
RNY4P25,0.39363225101128696,2.8498148924618473e-07
RPL23AP82,-0.3934073556672658,2.8985947429887386e-07
SNCA,-0.39250104299513117,3.103388982936197e-07
VAT1L,0.3911893266922997,3.4244477631663267e-07
LILRA6,-0.389669034652875,3.836297646269199e-07
SNORD3C,0.38802894494706935,4.3335482046363266e-07
none.247,0.38667545539534914,4.78971627678659e-07
RNA5SP298,0.3856414950547652,5.168727617003778e-07
HSPA6,-0.383994526528993,5.832205774284325e-07
MAMSTR,0.3810759842291446,7.21233431497229e-07
RNA5SP199,0.3806355341021972,7.445934312451663e-07
MTRNR2L10,0.3801922624690376,7.688308340607273e-07
EFHD2,-0.38018431645716466,7.692721011277546e-07
SNORD3A,0.3780299121222085,8.98256917829343e-07
USP26,0.377928093542084,9.048368089336832e-07
Y_RNA.83,0.37737709049869034,9.412495209183019e-07
MTRNR2L12,0.3773725231366465,9.415571112576296e-07
MVK,0.3757567472474752,1.0566000305765822e-06
TNNI2,-0.3748658081414093,1.1256431946223486e-06
RP11-274H24.1,0.3745786303482915,1.1487996271189585e-06
RNF149,-0.37426506414463395,1.1746020845417005e-06
LINC-PINT,-0.37405471775999205,1.1922193329000534e-06
