,Fold selected features,Fold nb of features
Fold 175,"['STAT3', 'NFkB']",2
Fold 176,['STAT3'],1
Fold 177,['STAT3'],1
Fold 178,['STAT3'],1
Fold 179,['NFkB'],1
Fold 180,"['STAT3', 'S6', 'NFkB']",3
Fold 181,"['STAT3', 'IkB']",2
Fold 182,"['STAT3', 'S6', 'NFkB']",3
Fold 183,"['STAT3', 'NFkB']",2
Fold 184,[],0
Fold 185,['NFkB'],1
Fold 186,['STAT3'],1
Fold 187,"['STAT3', 'S6', 'IkB', 'NFkB']",4
Fold 188,"['STAT3', 'NFkB']",2
Fold 189,['STAT3'],1
Fold 190,['STAT3'],1
Fold 191,"['STAT3', 'NFkB']",2
Fold 192,[],0
Fold 193,['STAT3'],1
Fold 194,"['STAT3', 'S6', 'NFkB']",3
Fold 195,['STAT3'],1
Fold 196,['NFkB'],1
Fold 197,['STAT3'],1
Fold 198,"['STAT3', 'IkB']",2
Fold 199,['STAT3'],1
