,ROC AUC,Average Precision,N features,CVS
STABL,"0.850 [0.670, 0.965]","0.833 [0.631, 0.959]","10.000 [0.000, 18.250]","0.000 [0.000, 0.381]"
SS 03,"0.870 [0.657, 1.000] (p=0.423)","0.920 [0.769, 1.000] (p=0.098)","15.000 [14.000, 16.000] (p=6.671e-02)","0.722 [0.584, 0.812] (p=1.504e-51)"
SS 05,"0.840 [0.620, 1.000] (p=0.458)","0.902 [0.711, 1.000] (p=0.155)","12.000 [10.750, 12.250] (p=5.293e-01)","0.677 [0.533, 0.786] (p=2.682e-48)"
SS 08,"0.560 [0.263, 0.820] (p=0.045)","0.691 [0.404, 0.894] (p=0.17)","5.000 [4.000, 5.000] (p=5.900e-01)","0.600 [0.500, 0.667] (p=5.483e-41)"
Lasso,"0.850 [0.626, 1.000] (p=0.514)","0.906 [0.732, 1.000] (p=0.102)","18.000 [16.750, 18.250] (p=6.247e-03)","0.650 [0.545, 0.750] (p=3.344e-48)"
Lasso 1SE,"0.830 [0.604, 1.000] (p=0.426)","0.878 [0.673, 1.000] (p=0.262)","17.000 [16.000, 18.000] (p=1.201e-02)","0.674 [0.545, 0.750] (p=5.947e-48)"
ElasticNet,"0.910 [0.727, 1.000] (p=0.188)","0.937 [0.805, 1.000] (p=0.053)","72.000 [57.750, 105.500] (p=5.686e-08)","0.577 [0.466, 0.693] (p=2.772e-38)"
