,Spearman corr,pvalue
NFkB,-0.36418618720013046,0.1144293688420575
S6,-0.2948173896382008,0.20700547241122197
CREB,-0.2427907914667536,0.3023454554274212
STAT3,0.22941573387056172,0.3305649312781844
STAT6,-0.22941573387056172,0.3305649312781844
IkB,-0.1907641932953064,0.42045602297364715
p38,-0.15659205853725428,0.509706168743258
Frequency,0.1387375951238592,0.5596674186533706
STAT5,-0.1272727272727273,0.5928472993530797
MAPKAPK2,0.10405319634289441,0.6624265026477676
ERK,-0.09666245053602429,0.6851802037461538
STAT1,,
