,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.09105079300000002,0.006395810999999994,0.0,0.0,0.180520795,-0.232590564,0.00545523600000003,0.025707166000000004,0.000686028,0.0,-0.020736197999999997
1330,0.129176157,0.006425050000000002,0.0,0.0,0.07314325900000002,0.43489667700000006,0.00583830099999999,-0.01736752500000001,0.0,0.0,0.029640999
1331,0.170190566,0.045328791,0.0,0.0,0.27789607800000005,-0.12719887400000002,0.13292900000000002,0.009243424,0.000288448,0.005463858,-0.012344663000000006
1337,0.277264332,0.025239233,0.162506788,0.0,-0.19404817600000007,-0.13533201300000003,-0.11700950600000004,0.023102434999999977,0.113168958,0.0,0.12994085700000002
1357,0.078274072,0.020939261,0.0,0.0,-0.028274802000000016,-0.042717020999999966,0.051026563999999996,0.056945569,0.0,0.0,-0.016864324
1377,0.073120878,0.073229964,0.0,0.0,0.23195457199999997,0.054990914,0.132539667,0.12127111400000001,0.043836887,0.022994709,0.018926751
1381,0.083721593,0.0,0.0,0.0,0.0,0.0,0.05698421999999999,0.106973971,0.0,0.0,0.0
1400,-0.044912663,0.0,0.0,0.0,0.0,0.0,-0.031506904,0.054659075,0.0,0.0,0.0
1414,0.109906885,0.033161668,-0.032351563,0.0,0.099258776,0.010593672,0.348069812,0.390043234,0.040527786,0.049746263,0.0
1418,-0.035686469,-0.025106079999999996,0.016143624000000002,0.0,0.0,-0.02525691,-0.07517079800000004,-0.11080677300000003,0.0,-0.016869864,-0.048394194999999994
1427,-0.033394519,0.0,0.0,0.0,0.0,-0.101598195,-0.11512904,-0.023558202,0.0,0.0,0.0
1428,0.0,0.0,0.0,0.0,0.0,0.0,0.040111585,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,0.0,0.0,-0.004962737,0.0,0.0,0.0,0.0
1464,0.098640305,0.0,0.038523595,0.0,-0.007831566000000005,0.387057883,-0.057426428,-0.024575926999999997,0.0,0.0,0.043248361
1469,-0.00642157,0.0,0.0,0.0,0.0,0.012949848,-0.09761907,0.0,0.0,0.0,0.0
1472,0.126641436,0.0,0.0,0.0,8.34e-05,0.110478159,0.135856858,0.22878431200000002,0.0,0.011321008,0.0
1473,-0.006022406,0.0,0.0,0.0,-0.02052027,0.005728568000000017,-0.041994316000000004,-0.12376877500000001,0.0,0.0,0.0
1475,-0.002954995,0.0,0.0,0.0,0.0,-0.057034294,-0.07358647799999998,-0.11648773100000001,0.0,0.0,0.0
1480,-0.0061653509999999995,-0.034264297,0.0,0.0,-0.047150838,-0.016251129000000003,-0.05233507000000001,-0.058378453999999996,0.0,0.0,0.0
1488,0.096223558,0.0,0.0,0.0,0.0,0.089723786,0.137538447,0.081626705,0.0,0.0,0.0
