,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.750]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.000e+00
SS 03,"0.360 [0.120, 0.656] (p=0.238)","0.453 [0.268, 0.759] (p=0.292)","2.000 [2.000, 2.000] (p=9.505e-87)","1.000 [1.000, 1.000] (p=0.000e+00)",3.058e-01
SS 05,"0.360 [0.121, 0.646] (p=0.208)","0.453 [0.271, 0.748] (p=0.313)","2.000 [2.000, 2.000] (p=9.505e-87)","1.000 [1.000, 1.000] (p=0.000e+00)",3.058e-01
SS 08,"0.410 [0.160, 0.710] (p=0.341)","0.486 [0.293, 0.808] (p=0.447)","2.000 [2.000, 2.000] (p=1.967e-77)","1.000 [0.500, 1.000] (p=0.000e+00)",5.191e-01
Lasso,"0.230 [0.062, 0.445] (p=0.028)","0.421 [0.233, 0.695] (p=0.078)","1.000 [0.000, 2.000] (p=4.155e-34)","0.000 [0.000, 0.500] (p=0.000e+00)",3.571e-02
Lasso 1SE,"0.230 [0.061, 0.429] (p=0.036)","0.421 [0.224, 0.661] (p=0.072)","1.000 [0.000, 2.000] (p=4.155e-34)","0.000 [0.000, 0.500] (p=0.000e+00)",3.571e-02
ElasticNet,"0.340 [0.110, 0.610] (p=0.17)","0.424 [0.243, 0.728] (p=0.199)","1.000 [0.000, 2.000] (p=4.155e-34)","0.000 [0.000, 0.500] (p=0.000e+00)",2.413e-01
