,ROC AUC,Average Precision,N features,CVS
STABL,"0.740 [0.500, 0.967]","0.821 [0.586, 0.963]","11.000 [10.000, 12.250]","0.600 [0.500, 0.667]"
SS 03,"0.860 [0.625, 1.000] (p=0.191)","0.917 [0.738, 1.000] (p=0.194)","15.000 [14.000, 16.000] (p=1.376e-05)","0.722 [0.561, 0.789] (p=7.641e-11)"
SS 05,"0.840 [0.613, 1.000] (p=0.231)","0.902 [0.697, 1.000] (p=0.231)","12.000 [11.000, 13.000] (p=2.429e-01)","0.699 [0.538, 0.786] (p=1.013e-07)"
SS 08,"0.550 [0.286, 0.818] (p=0.059)","0.678 [0.390, 0.891] (p=0.01)","5.000 [5.000, 5.000] (p=3.005e-08)","0.600 [0.429, 0.667] (p=9.817e-01)"
Lasso,"0.850 [0.636, 1.000] (p=0.248)","0.898 [0.724, 1.000] (p=0.265)","17.000 [16.000, 18.000] (p=9.934e-07)","0.682 [0.545, 0.750] (p=6.304e-05)"
Lasso 1SE,"0.880 [0.690, 1.000] (p=0.176)","0.914 [0.752, 1.000] (p=0.201)","17.000 [16.750, 19.000] (p=6.983e-07)","0.682 [0.591, 0.734] (p=2.453e-08)"
ElasticNet,"0.910 [0.740, 1.000] (p=0.113)","0.937 [0.771, 1.000] (p=0.155)","72.000 [57.750, 105.750] (p=6.449e-08)","0.575 [0.464, 0.690] (p=1.906e-01)"
