,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.410 [0.177, 0.661]","0.489 [0.274, 0.787]","2.000 [0.000, 4.000]","0.000 [0.000, 0.333]",5.005e-01
SS 03,"0.430 [0.188, 0.720] (p=0.445)","0.475 [0.274, 0.808] (p=0.423)","7.000 [7.000, 7.000] (p=1.023e-68)","1.000 [1.000, 1.000] (p=0.000e+00)",6.227e-01
SS 05,"0.460 [0.200, 0.750] (p=0.377)","0.483 [0.293, 0.806] (p=0.464)","7.000 [7.000, 7.000] (p=4.814e-66)","1.000 [1.000, 1.000] (p=0.000e+00)",7.910e-01
SS 08,"0.105 [0.000, 0.321] (p=0.018)","0.355 [0.199, 0.650] (p=0.134)","1.000 [0.000, 1.000] (p=1.024e-04)","0.000 [0.000, 1.000] (p=4.533e-203)",2.811e-03
Lasso,"0.560 [0.286, 0.833] (p=0.08)","0.577 [0.330, 0.889] (p=0.226)","6.500 [6.000, 7.000] (p=1.836e-45)","0.857 [0.667, 1.000] (p=0.000e+00)",6.776e-01
Lasso 1SE,"0.560 [0.286, 0.800] (p=0.086)","0.577 [0.351, 0.888] (p=0.205)","6.500 [6.000, 7.000] (p=1.836e-45)","0.857 [0.667, 1.000] (p=0.000e+00)",6.776e-01
ElasticNet,"0.630 [0.323, 0.859] (p=0.034)","0.707 [0.439, 0.924] (p=0.053)","7.000 [6.000, 7.000] (p=7.723e-51)","0.857 [0.714, 1.000] (p=0.000e+00)",3.447e-01
