,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_S6
Feature n°3,CCR2nncMC_NFkB
Feature n°4,CCR2nncMC_MAPKAPK2
Feature n°5,CCR2nncMC_Frequency
Feature n°6,CCR2pcMC_S6
Feature n°7,CCR2pcMC_Frequency
Feature n°8,CD4Tcm_IkB
Feature n°9,CD4Tcm_Frequency
Feature n°10,CD4Tnaive_Frequency
Feature n°11,CD4Trm_STAT5
Feature n°12,CD4Trm_S6
Feature n°13,CD4Trm_IkB
Feature n°14,CD4Trm_NFkB
Feature n°15,CD4Trm_STAT6
Feature n°16,CD56brightCD16nNKcells_IkB
Feature n°17,CD56brightCD16nNKcells_Frequency
Feature n°18,CD56dimCD16pNKcells_Frequency
Feature n°19,CD61pCD41pPLT_CREB
Feature n°20,CD61pCD41pPLT_STAT3
Feature n°21,CD62LnAgedNeutrophils_p38
Feature n°22,CD62LnAgedNeutrophils_S6
Feature n°23,CD62LnAgedNeutrophils_IkB
Feature n°24,CD62LnAgedNeutrophils_MAPKAPK2
Feature n°25,CD62LnAgedNeutrophils_Frequency
Feature n°26,CD62LpImmatureNeutrophils_S6
Feature n°27,CD62LpImmatureNeutrophils_Frequency
Feature n°28,CD8Tcm_STAT3
Feature n°29,CD8Tnaive_Frequency
Feature n°30,gdTcells_Frequency
Feature n°31,intMC_S6
Feature n°32,intMC_Frequency
Feature n°33,mDC_S6
Feature n°34,MDSC_S6
Feature n°35,pDC_STAT5
Feature n°36,pDC_IkB
Feature n°37,pDC_MAPKAPK2
Feature n°38,Th1mem_STAT5
Feature n°39,Th1mem_ERK
Feature n°40,Th1mem_STAT6
Feature n°41,Th1naive_NFkB
Feature n°42,Th1naive_ERK
Feature n°43,Th1naive_STAT6
Feature n°44,Tregmem_STAT5
Feature n°45,Tregnaive_STAT5
Feature n°46,Tregnaive_STAT6
