,R2,RMSE,MAE,N features,CVS
Lasso,"0.098 [0.014, 0.146]","263.104 [219.901, 305.400]","187.441 [156.468, 217.334]","7.500 [3.000, 14.000]","0.312 [0.200, 0.500]"
Lasso 1SE,"0.098 [0.014, 0.146]","263.104 [220.548, 303.097]","187.441 [158.602, 219.502]","7.500 [3.000, 14.000]","0.312 [0.200, 0.500]"
ElasticNet,"0.154 [0.029, 0.231]","254.783 [214.165, 292.813]","183.482 [156.843, 214.038]","516.500 [476.500, 547.750]","0.704 [0.669, 0.741]"
