,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.450 [0.333, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",3.681e-01
SS 03,"0.450 [0.192, 0.717] (p=0.51)","0.511 [0.299, 0.850] (p=0.449)","7.000 [6.000, 7.000] (p=5.703e-78)","0.857 [0.857, 1.000] (p=0.000e+00)",7.336e-01
SS 05,"0.490 [0.219, 0.748] (p=0.411)","0.522 [0.305, 0.831] (p=0.418)","4.000 [4.000, 5.000] (p=2.390e-76)","0.800 [0.600, 1.000] (p=0.000e+00)",9.698e-01
SS 08,"0.460 [0.202, 0.750] (p=0.462)","0.503 [0.293, 0.854] (p=0.483)","1.000 [1.000, 1.000] (p=1.545e-77)","1.000 [1.000, 1.000] (p=0.000e+00)",7.913e-01
Lasso,"0.510 [0.253, 0.787] (p=0.365)","0.549 [0.314, 0.858] (p=0.318)","7.000 [3.000, 9.000] (p=6.705e-63)","0.500 [0.143, 0.778] (p=0.000e+00)",9.698e-01
Lasso 1SE,"0.510 [0.231, 0.750] (p=0.363)","0.549 [0.318, 0.859] (p=0.334)","7.000 [3.000, 9.000] (p=6.705e-63)","0.500 [0.143, 0.778] (p=0.000e+00)",9.698e-01
ElasticNet,"0.180 [0.021, 0.384] (p=0.04)","0.370 [0.211, 0.630] (p=0.023)","4.000 [0.000, 5.000] (p=3.095e-42)","0.000 [0.000, 0.556] (p=0.000e+00)",1.726e-02
