,Spearman corr,pvalue
Frequency,-0.5549503804954368,0.011092407862489932
S6,0.520265981714472,0.018692511424373982
ERK,-0.4725058757043211,0.03539822101114629
NFkB,-0.4682393835430248,0.0373249528982674
MAPKAPK2,-0.45089718415254243,0.04600809554004641
CREB,-0.3468439878096479,0.13407612120334217
STAT5,-0.3121595890286832,0.18027688594970007
STAT6,-0.2108590488016544,0.3721974356474468
p38,-0.12209353913347196,0.6081007083067527
IkB,-0.1213953957333768,0.6101689948464966
STAT3,0.0173421993904824,0.9421499835467455
STAT1,,
