,ROC AUC,Average Precision,N features,CVS
STABL,"0.570 [0.281, 0.823]","0.555 [0.327, 0.863]","3.500 [2.000, 9.250]","0.286 [0.200, 0.400]"
SS 03,"0.860 [0.630, 1.000] (p=0.013)","0.917 [0.750, 1.000] (p=0.004)","15.000 [14.000, 15.250] (p=6.344e-07)","0.706 [0.591, 0.800] (p=4.119e-41)"
SS 05,"0.840 [0.620, 1.000] (p=0.015)","0.902 [0.729, 1.000] (p=0.005)","12.000 [10.750, 13.000] (p=1.294e-04)","0.667 [0.533, 0.786] (p=1.558e-39)"
SS 08,"0.550 [0.250, 0.820] (p=0.425)","0.678 [0.401, 0.890] (p=0.185)","5.000 [4.750, 5.000] (p=3.506e-01)","0.600 [0.429, 0.667] (p=1.790e-28)"
Lasso,"0.840 [0.616, 1.000] (p=0.026)","0.852 [0.587, 1.000] (p=0.036)","16.000 [15.750, 18.000] (p=4.492e-07)","0.650 [0.527, 0.727] (p=7.031e-27)"
Lasso 1SE,"0.850 [0.620, 1.000] (p=0.021)","0.892 [0.694, 1.000] (p=0.027)","16.500 [15.750, 18.250] (p=8.831e-07)","0.650 [0.500, 0.737] (p=1.526e-23)"
ElasticNet,"0.910 [0.740, 1.000] (p=0.017)","0.937 [0.794, 1.000] (p=0.01)","72.000 [57.750, 105.500] (p=5.702e-08)","0.577 [0.466, 0.693] (p=1.608e-31)"
