,ROC AUC,Average Precision,N features,CVS
STABL,"0.575 [0.303, 0.823]","0.667 [0.392, 0.877]","12.500 [0.000, 21.250]","0.000 [0.000, 0.482]"
SS 03,"0.860 [0.636, 1.000] (p=0.0)","0.917 [0.765, 1.000] (p=0.004)","15.000 [14.000, 16.000] (p=3.272e-01)","0.722 [0.591, 0.800] (p=5.805e-49)"
SS 05,"0.840 [0.604, 1.000] (p=0.0)","0.902 [0.725, 1.000] (p=0.016)","12.000 [11.000, 13.000] (p=4.695e-01)","0.688 [0.533, 0.833] (p=3.263e-45)"
SS 08,"0.500 [0.198, 0.769] (p=0.317)","0.669 [0.396, 0.885] (p=0.508)","5.000 [5.000, 5.000] (p=2.827e-02)","0.571 [0.429, 0.667] (p=4.100e-31)"
Lasso,"0.890 [0.703, 1.000] (p=0.001)","0.921 [0.780, 1.000] (p=0.02)","17.000 [15.750, 20.000] (p=1.662e-01)","0.632 [0.536, 0.727] (p=2.425e-38)"
Lasso 1SE,"0.850 [0.625, 1.000] (p=0.007)","0.876 [0.656, 1.000] (p=0.029)","17.000 [15.000, 18.000] (p=2.264e-01)","0.649 [0.500, 0.727] (p=3.979e-37)"
ElasticNet,"0.910 [0.747, 1.000] (p=0.001)","0.937 [0.804, 1.000] (p=0.026)","72.000 [57.750, 105.750] (p=6.385e-08)","0.574 [0.464, 0.691] (p=4.164e-31)"
