,Fold selected features,Fold nb of features
Fold 96,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 97,['STAT6'],1
Fold 98,['STAT6'],1
Fold 99,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 100,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 101,[],0
Fold 102,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 103,[],0
Fold 104,['STAT6'],1
Fold 105,['STAT6'],1
Fold 106,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 107,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 108,['STAT6'],1
Fold 109,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 110,"['IkB', 'NFkB', 'STAT6']",3
Fold 111,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 112,"['CREB', 'STAT6']",2
Fold 113,"['IkB', 'STAT6']",2
Fold 114,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 115,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 116,[],0
Fold 117,[],0
Fold 118,[],0
Fold 119,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 120,['STAT6'],1
Fold 121,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 122,[],0
Fold 123,['STAT6'],1
Fold 124,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 125,[],0
Fold 126,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 127,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 128,"['STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",5
Fold 129,['STAT6'],1
Fold 130,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 131,"['IkB', 'STAT6']",2
Fold 132,[],0
Fold 133,[],0
Fold 134,"['CREB', 'STAT6']",2
Fold 135,"['CREB', 'STAT5', 'STAT3', 'IkB', 'NFkB', 'STAT6', 'Frequency']",7
Fold 136,"['IkB', 'NFkB', 'STAT6']",3
