,ROC AUC,Average Precision,N features,CVS
STABL,"0.555 [0.273, 0.813]","0.682 [0.396, 0.908]","6.000 [3.000, 9.000]","0.333 [0.182, 0.455]"
SS 03,"0.540 [0.260, 0.798] (p=0.42)","0.526 [0.328, 0.848] (p=0.084)","2.000 [2.000, 3.000] (p=4.699e-34)","0.500 [0.250, 0.667] (p=0.000e+00)"
SS 05,"0.500 [0.500, 0.500] (p=0.38)","0.500 [0.300, 0.750] (p=0.09)","0.000 [0.000, 0.000] (p=2.546e-66)","0.000 [0.000, 0.000] (p=0.000e+00)"
SS 08,"0.500 [0.500, 0.500] (p=0.387)","0.500 [0.300, 0.700] (p=0.086)","0.000 [0.000, 0.000] (p=2.546e-66)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso,"0.500 [0.192, 0.812] (p=0.284)","0.697 [0.415, 0.884] (p=0.428)","7.000 [4.000, 10.000] (p=4.196e-04)","0.385 [0.273, 0.571] (p=0.000e+00)"
Lasso 1SE,"0.530 [0.250, 0.813] (p=0.416)","0.706 [0.424, 0.901] (p=0.432)","6.500 [2.750, 10.000] (p=5.073e-01)","0.267 [0.125, 0.429] (p=1.325e-61)"
ElasticNet,"0.560 [0.260, 0.838] (p=0.492)","0.738 [0.452, 0.928] (p=0.321)","10.500 [9.750, 14.250] (p=2.425e-27)","0.429 [0.333, 0.571] (p=0.000e+00)"
