feature,coefficient
CD69negCD56loCD16negNK_STAT1_IFNa,16.333343914393502
CD62LposCD4Tnaive_STAT5_unstim,6.70175069255506
intMCs_STAT1_IL246,3.575817228497749
NK_STAT1_IFNa,2.9517095943612293
CD69posCD56loCD16negNK_STAT1_IFNa,2.9358391572060123
NK_CREB_LPS,2.713045366315618
CCR2posintMCs_IkB_LPS,2.6617034856323283
NKT,2.532636850649362
CCR2posintMCs_CREB_IFNa,2.4867025858884246
Bcells_STAT5_IL246,2.1518996010665963
NK_MAPKAPK2_LPS,2.123203238410303
CCR2posintMCs,2.01670450084827
Granulocytes_IkB_IFNa,1.870441919920766
DCs_NFkB_IL246,1.7351717234052915
CD56hiCD16negNK_MAPKAPK2_IL246,1.6988278744836092
CCR2negncMCs_IkB_IFNa,1.6952222718127534
CD56hiCD16negNK_IkB_LPS,1.482213276888335
CD69negCD56loCD16negNK_S6_LPS,1.4664421227826114
Granulocytes_p38_unstim,1.4529759080022226
CCR5posCCR2posCD8Tem_S6_IL246,1.451181308619873
pDCs_p38_unstim,1.3883304509341137
DCs_p38_GMCSF,1.3817161512578395
Th1_p38_unstim,1.3599163350023264
CCR2negncMCs_IkB_IL246,1.3233206680664196
mDCs_p38_IL246,1.20420160932037
CCR5posCCR2posCD8Tem_MAPKAPK2_IL246,1.16710828818349
CCR5posCCR2posCD4Tem_CREB_IFNa,1.0812628108728533
CD8Tnaive_MAPKAPK2_IFNa,0.8247287532556234
Tregs_p38_unstim,0.7646177372165031
CD4Tef_STAT1_IL246,0.7232490119754291
NK,0.664583518454743
CD4Tef_CREB_unstim,0.5959416045925894
CD69posCD56loCD16negNK_NFkB_IL246,0.5862408761126644
Tregs_S6_LPS,0.557852609766154
mDCs_ERK_LPS,0.516870926422603
Tregs_MAPKAPK2_LPS,0.4685595974842145
Th1_S6_IL246,0.4661740930292996
DCs_CREB_LPS,0.3366963415072722
mDCs_NFkB_LPS,0.2749569983587816
CCR5posCCR2posCD8Tcm_ERK_IFNa,0.21164061797963737
Granulocytes_ERK_IL246,0.17157639757856474
CCR5posCCR2posCD4Tcm_IkB_IL246,0.06987170577425784
pDCs_S6_GMCSF,0.06401668541792088
CD69posCD4Tmem_ERK_IFNa,0.06075006692075287
CD4Tef_CREB_IL246,-0.036610481582970554
DCs_MAPKAPK2_IL246,-0.0669327865745792
NK_STAT6_IFNa,-0.1481384112354367
CCR5posCCR2posCD8Tcm_STAT6_unstim,-0.19280242722095978
CD8Tcm_IkB_IFNa,-0.21772798232557763
CD8Tnaive_CREB_IFNa,-0.23998298112287628
CD56hiCD16negNK_NFkB_IL246,-0.27385274566440804
MDSCs,-0.29176231822652665
ncMCs_MAPKAPK2_unstim,-0.32449316249681986
Tregs_MAPKAPK2_unstim,-0.3949411427318658
CD4Tef_CREB_IFNa,-0.512346788948738
NKT_IkB_IFNa,-0.51245602181319
CCR5posCCR2posCD4Tcm_IkB_unstim,-0.5452408827149173
CCR5posCCR2posCD4Tem_IkB_IL246,-0.6305766127732735
Bcells_S6_IFNa,-0.6351014740347785
pDCs_MAPKAPK2_GMCSF,-0.6957823449646088
Th1_S6_IFNa,-0.8713562394884004
NKT_MAPKAPK2_unstim,-0.884174428589075
CD8Tef_STAT6_IFNa,-0.8883169892222416
CD4Tef_STAT6_IFNa,-0.9191917544620013
CD69posCD56loCD16negNK_MAPKAPK2_unstim,-1.0943921348560235
CCR5posCCR2posCD4Tcm_CREB_IFNa,-1.1144158540775155
CD8Tcm_S6_IL246,-1.1520388418691587
CD69posCD4Tmem_NFkB_IFNa,-1.2131600385883665
Tregs_ERK_IL246,-1.224508142247016
Tregs_ERK_IFNa,-1.2942239100503303
Th1_MAPKAPK2_IFNa,-1.4555973430373241
CD8Tef_MAPKAPK2_IL246,-1.5010668640778362
CCR5posCCR2posCD8Tcm_S6_IL246,-1.5508699283430905
DCs_STAT6_IFNa,-1.7220468530064175
Tregs_S6_IFNa,-1.7296687311697085
Granulocytes_CREB_GMCSF,-1.8881998708169871
Granulocytes_MAPKAPK2_unstim,-1.9092976886447026
CD69posCD56loCD16negNK_S6_IFNa,-2.146170988058787
ncMCs_CREB_GMCSF,-2.186626995417797
CD69posCD8Tmem_S6_IL246,-2.293198509594256
CD69posCD4Tmem_MAPKAPK2_unstim,-2.4685708703567157
CCR5posCCR2posCD4Tem_S6_IL246,-2.9729075271700003
CCR5posCCR2posCD4Tcm_ERK_IL246,-3.225654175516715
CCR5posCCR2posCD4Tem_STAT3_IL246,-3.6764805560994755
CD4Tem_MAPKAPK2_unstim,-3.862740008305802
mDCs,-4.268509290128133
Bcells,-4.315556698423543
Granulocytes_STAT1_IFNa,-5.44743948119092
CCR5posCCR2posCD8Tem_NFkB_IFNa,-5.683002201831781
Granulocytes,-6.84253251122307
