,R2,RMSE,MAE,N features,CVS
STABL,"-1.039 [-3.073, 0.028]","45.923 [30.313, 65.414]","31.029 [26.692, 37.988]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"-3.306 [-7.639, -0.110]","66.734 [32.614, 97.761]","33.683 [25.922, 44.030]","168.500 [164.000, 174.750] (p=4.881e-14)","0.794 [0.719, 0.844] (p=0.000e+00)"
SS 05,"-5.733 [-13.262, -0.598]","83.449 [40.989, 122.788]","40.898 [31.197, 53.981]","140.000 [137.000, 147.750] (p=5.421e-14)","0.795 [0.713, 0.844] (p=0.000e+00)"
SS 08,"-5.144 [-12.892, 0.100]","79.720 [29.805, 118.136]","33.215 [24.045, 46.400]","87.000 [84.000, 91.000] (p=5.384e-14)","0.713 [0.586, 0.771] (p=0.000e+00)"
Lasso,"0.307 [0.022, 0.506]","26.779 [22.258, 31.676]","19.993 [17.296, 22.905]","25.500 [21.000, 29.000] (p=1.017e-11)","0.368 [0.278, 0.450] (p=0.000e+00)"
Lasso 1SE,"0.307 [0.047, 0.507]","26.779 [21.648, 31.654]","19.993 [17.376, 22.940]","25.500 [21.000, 29.000] (p=1.017e-11)","0.368 [0.278, 0.450] (p=0.000e+00)"
ElasticNet,"0.036 [-0.607, 0.480]","31.578 [22.566, 41.179]","21.736 [18.338, 25.715]","114.000 [104.500, 121.500] (p=5.496e-14)","0.578 [0.530, 0.633] (p=0.000e+00)"
