,ROC AUC,Average Precision,N features,CVS
STABL,"0.730 [0.469, 0.927]","0.805 [0.565, 0.954]","11.000 [10.000, 12.000]","0.571 [0.474, 0.643]"
SS 03,"0.860 [0.636, 1.000] (p=0.184)","0.917 [0.755, 1.000] (p=0.194)","15.000 [14.000, 16.000] (p=1.306e-04)","0.728 [0.579, 0.800] (p=1.203e-16)"
SS 05,"0.850 [0.625, 1.000] (p=0.191)","0.904 [0.730, 1.000] (p=0.212)","12.000 [11.000, 13.000] (p=4.492e-01)","0.688 [0.562, 0.786] (p=1.642e-13)"
SS 08,"0.480 [0.208, 0.750] (p=0.022)","0.623 [0.329, 0.872] (p=0.006)","5.000 [4.000, 5.000] (p=4.504e-08)","0.571 [0.429, 0.667] (p=6.613e-01)"
Lasso,"0.790 [0.547, 0.980] (p=0.32)","0.845 [0.635, 0.982] (p=0.356)","16.000 [15.000, 18.000] (p=1.072e-04)","0.625 [0.500, 0.737] (p=7.956e-04)"
Lasso 1SE,"0.830 [0.604, 0.990] (p=0.213)","0.872 [0.677, 0.991] (p=0.294)","17.000 [16.000, 19.000] (p=5.443e-05)","0.647 [0.565, 0.700] (p=2.117e-06)"
ElasticNet,"0.910 [0.747, 1.000] (p=0.122)","0.937 [0.786, 1.000] (p=0.187)","72.000 [57.750, 105.500] (p=6.313e-08)","0.575 [0.465, 0.693] (p=5.924e-01)"
