,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.450 [0.283, 0.600]","0.500 [0.263, 0.706]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",5.842e-01
SS 03,"0.510 [0.242, 0.791] (p=0.353)","0.513 [0.302, 0.835] (p=0.405)","5.000 [5.000, 5.000] (p=6.481e-79)","1.000 [0.800, 1.000] (p=0.000e+00)",9.698e-01
SS 05,"0.510 [0.232, 0.813] (p=0.353)","0.513 [0.313, 0.866] (p=0.453)","5.000 [5.000, 5.000] (p=6.481e-79)","1.000 [0.800, 1.000] (p=0.000e+00)",9.698e-01
SS 08,"0.500 [0.229, 0.780] (p=0.347)","0.548 [0.319, 0.860] (p=0.254)","3.000 [3.000, 4.000] (p=1.841e-71)","0.600 [0.400, 0.750] (p=0.000e+00)",1.000e+00
Lasso,"0.390 [0.156, 0.625] (p=0.35)","0.480 [0.280, 0.779] (p=0.358)","0.000 [0.000, 4.000] (p=4.071e-15)","0.000 [0.000, 0.000] (p=0.000e+00)",3.849e-01
Lasso 1SE,"0.390 [0.177, 0.631] (p=0.348)","0.480 [0.267, 0.772] (p=0.335)","0.000 [0.000, 4.000] (p=4.126e-15)","0.000 [0.000, 0.000] (p=0.000e+00)",3.849e-01
ElasticNet,"0.250 [0.042, 0.485] (p=0.119)","0.397 [0.232, 0.673] (p=0.074)","0.000 [0.000, 4.000] (p=8.814e-12)","0.000 [0.000, 0.000] (p=0.000e+00)",6.402e-02
