,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
artificial.109,0.0,0.005,0.02,0.027,0.036,0.041,0.049,0.059,0.068,0.077
artificial.110,0.0,0.053,0.087,0.111,0.129,0.144,0.162,0.178,0.198,0.216
artificial.111,0.0,0.093,0.142,0.162,0.181,0.198,0.216,0.232,0.247,0.262
artificial.112,0.0,0.03,0.066,0.092,0.11,0.135,0.154,0.177,0.192,0.201
artificial.113,0.0,0.132,0.162,0.186,0.207,0.222,0.233,0.246,0.255,0.271
artificial.114,0.0,0.051,0.065,0.073,0.086,0.098,0.106,0.12,0.129,0.139
artificial.115,0.0,0.037,0.055,0.063,0.08,0.092,0.102,0.116,0.126,0.138
artificial.116,0.0,0.056,0.084,0.109,0.132,0.15,0.172,0.187,0.209,0.227
artificial.117,0.0,0.132,0.171,0.196,0.216,0.237,0.256,0.272,0.29,0.3
artificial.118,0.0,0.09,0.161,0.214,0.248,0.278,0.313,0.348,0.381,0.404
artificial.119,0.0,0.106,0.131,0.152,0.176,0.193,0.207,0.22,0.23,0.249
artificial.120,0.0,0.07,0.096,0.12,0.141,0.159,0.178,0.198,0.211,0.228
artificial.121,0.0,0.107,0.162,0.19,0.226,0.247,0.272,0.299,0.33,0.343
artificial.122,0.0,0.065,0.089,0.11,0.128,0.145,0.16,0.176,0.187,0.201
artificial.123,0.0,0.042,0.073,0.1,0.118,0.129,0.14,0.16,0.175,0.188
artificial.124,0.0,0.028,0.049,0.067,0.077,0.091,0.101,0.114,0.119,0.125
artificial.125,0.0,0.067,0.083,0.108,0.121,0.134,0.151,0.168,0.179,0.193
artificial.126,0.0,0.233,0.296,0.323,0.343,0.382,0.409,0.427,0.446,0.461
artificial.127,0.0,0.225,0.273,0.301,0.322,0.34,0.355,0.372,0.39,0.404
artificial.128,0.0,0.059,0.076,0.09,0.103,0.113,0.129,0.138,0.149,0.16
artificial.129,0.0,0.033,0.053,0.068,0.079,0.099,0.113,0.122,0.135,0.147
artificial.130,0.0,0.01,0.021,0.037,0.043,0.051,0.064,0.074,0.083,0.093
artificial.131,0.0,0.042,0.064,0.078,0.1,0.116,0.124,0.141,0.159,0.167
