,ROC AUC,Average Precision,N features,CVS
STABL,"0.550 [0.500, 0.654]","0.550 [0.300, 0.764]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.460 [0.208, 0.750] (p=0.314)","0.568 [0.319, 0.853] (p=0.433)","12.500 [11.000, 13.250] (p=2.599e-07)","0.556 [0.480, 0.638] (p=1.204e-72)"
SS 05,"0.530 [0.231, 0.788] (p=0.46)","0.663 [0.378, 0.891] (p=0.181)","5.000 [4.000, 7.000] (p=2.521e-07)","0.500 [0.333, 0.625] (p=1.060e-72)"
SS 08,"0.360 [0.210, 0.500] (p=0.057)","0.453 [0.226, 0.685] (p=0.111)","0.000 [0.000, 0.000] (p=3.494e-01)","0.000 [0.000, 0.000] (p=3.199e-01)"
Lasso,"0.175 [0.060, 0.323] (p=0.002)","0.387 [0.211, 0.627] (p=0.021)","0.000 [0.000, 5.750] (p=1.538e-02)","0.000 [0.000, 0.000] (p=7.523e-08)"
Lasso 1SE,"0.240 [0.109, 0.400] (p=0.008)","0.408 [0.226, 0.656] (p=0.036)","0.000 [0.000, 4.500] (p=5.754e-02)","0.000 [0.000, 0.000] (p=8.009e-05)"
ElasticNet,"0.210 [0.040, 0.455] (p=0.014)","0.382 [0.232, 0.663] (p=0.028)","0.000 [0.000, 2.000] (p=2.472e-02)","0.000 [0.000, 0.000] (p=4.535e-06)"
