,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.595 [0.500, 0.730]","0.574 [0.316, 0.778]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.916e-01
SS 03,"0.120 [0.000, 0.341] (p=0.0)","0.378 [0.212, 0.663] (p=0.001)","6.000 [6.000, 6.000] (p=4.453e-66)","1.000 [1.000, 1.000] (p=0.000e+00)",4.586e-03
SS 05,"0.160 [0.000, 0.396] (p=0.001)","0.391 [0.205, 0.680] (p=0.01)","5.000 [5.000, 5.000] (p=2.312e-67)","1.000 [1.000, 1.000] (p=0.000e+00)",1.133e-02
SS 08,"0.400 [0.160, 0.649] (p=0.148)","0.472 [0.275, 0.781] (p=0.198)","1.000 [1.000, 2.000] (p=1.427e-32)","0.250 [0.000, 0.500] (p=0.000e+00)",4.710e-01
Lasso,"0.300 [0.136, 0.495] (p=0.006)","0.423 [0.241, 0.675] (p=0.009)","0.000 [0.000, 1.000] (p=2.507e-05)","0.000 [0.000, 0.000] (p=1.715e-182)",6.916e-02
Lasso 1SE,"0.300 [0.125, 0.495] (p=0.01)","0.423 [0.231, 0.680] (p=0.024)","0.000 [0.000, 1.000] (p=2.507e-05)","0.000 [0.000, 0.000] (p=1.715e-182)",6.916e-02
ElasticNet,"0.320 [0.091, 0.594] (p=0.092)","0.447 [0.265, 0.758] (p=0.176)","0.000 [0.000, 0.250] (p=1.087e-03)","0.000 [0.000, 0.000] (p=2.291e-170)",1.859e-01
