,ROC AUC,Average Precision,N features,CVS
STABL,"0.510 [0.297, 0.719]","0.582 [0.325, 0.800]","0.000 [0.000, 14.750]","0.000 [0.000, 0.000]"
SS 03,"0.780 [0.527, 0.964] (p=0.022)","0.806 [0.537, 0.981] (p=0.038)","12.000 [11.000, 12.000] (p=2.654e-02)","0.714 [0.615, 0.786] (p=1.100e-67)"
SS 05,"0.780 [0.538, 0.969] (p=0.024)","0.806 [0.540, 0.974] (p=0.029)","12.000 [11.000, 12.000] (p=2.681e-02)","0.714 [0.615, 0.786] (p=1.260e-67)"
SS 08,"0.780 [0.521, 0.979] (p=0.022)","0.806 [0.561, 0.980] (p=0.034)","12.000 [11.000, 12.000] (p=2.681e-02)","0.714 [0.615, 0.786] (p=1.260e-67)"
Lasso,"0.810 [0.580, 0.970] (p=0.009)","0.829 [0.588, 0.987] (p=0.016)","10.000 [9.000, 10.250] (p=2.738e-02)","0.555 [0.413, 0.667] (p=1.845e-60)"
Lasso 1SE,"0.810 [0.576, 0.980] (p=0.013)","0.829 [0.577, 0.980] (p=0.015)","10.000 [9.000, 11.000] (p=2.746e-02)","0.538 [0.385, 0.667] (p=3.304e-60)"
ElasticNet,"0.820 [0.590, 0.990] (p=0.009)","0.852 [0.620, 0.992] (p=0.01)","17.500 [14.750, 19.250] (p=4.881e-04)","0.618 [0.500, 0.700] (p=1.070e-63)"
