,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.305 [0.130, 0.505]","0.458 [0.250, 0.700]","0.000 [0.000, 3.000]","0.000 [0.000, 0.000]",9.177e-02
SS 03,"0.340 [0.101, 0.571] (p=0.398)","0.438 [0.236, 0.734] (p=0.409)","9.000 [8.750, 9.000] (p=6.588e-56)","1.000 [0.889, 1.000] (p=0.000e+00)",2.312e-01
SS 05,"0.260 [0.060, 0.520] (p=0.361)","0.421 [0.246, 0.698] (p=0.374)","7.000 [7.000, 7.000] (p=1.411e-32)","1.000 [0.857, 1.000] (p=0.000e+00)",7.566e-02
SS 08,"0.360 [0.175, 0.600] (p=0.396)","0.497 [0.271, 0.739] (p=0.407)","0.000 [0.000, 1.000] (p=3.200e-02)","0.000 [0.000, 0.000] (p=2.298e-10)",2.311e-01
Lasso,"0.125 [0.030, 0.247] (p=0.084)","0.387 [0.218, 0.632] (p=0.155)","0.500 [0.000, 3.000] (p=1.607e-02)","0.000 [0.000, 0.000] (p=2.542e-246)",2.804e-03
Lasso 1SE,"0.125 [0.033, 0.255] (p=0.066)","0.387 [0.208, 0.616] (p=0.134)","0.500 [0.000, 3.000] (p=1.607e-02)","0.000 [0.000, 0.000] (p=2.542e-246)",2.804e-03
ElasticNet,"0.180 [0.030, 0.394] (p=0.196)","0.374 [0.216, 0.659] (p=0.181)","0.000 [0.000, 2.000] (p=1.403e-01)","0.000 [0.000, 0.000] (p=4.008e-02)",1.726e-02
