,ROC AUC,Average Precision,N features,CVS
STABL,"0.600 [0.415, 0.773]","0.621 [0.368, 0.817]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.630 [0.320, 0.869] (p=0.452)","0.678 [0.418, 0.906] (p=0.342)","13.000 [12.000, 14.000] (p=2.057e-08)","0.667 [0.600, 0.750] (p=1.604e-69)"
SS 05,"0.630 [0.350, 0.889] (p=0.445)","0.678 [0.410, 0.905] (p=0.352)","13.000 [12.000, 14.000] (p=2.057e-08)","0.667 [0.600, 0.750] (p=1.604e-69)"
SS 08,"0.630 [0.365, 0.875] (p=0.434)","0.678 [0.414, 0.913] (p=0.361)","13.000 [12.000, 14.000] (p=2.139e-08)","0.667 [0.591, 0.769] (p=1.414e-69)"
Lasso,"0.520 [0.242, 0.792] (p=0.342)","0.533 [0.315, 0.868] (p=0.313)","10.500 [4.000, 12.000] (p=1.957e-06)","0.469 [0.256, 0.643] (p=6.573e-67)"
Lasso 1SE,"0.510 [0.220, 0.778] (p=0.319)","0.542 [0.306, 0.868] (p=0.301)","10.000 [3.750, 12.250] (p=2.265e-06)","0.449 [0.231, 0.643] (p=1.108e-66)"
ElasticNet,"0.640 [0.365, 0.900] (p=0.381)","0.682 [0.414, 0.918] (p=0.316)","11.000 [5.750, 15.000] (p=9.083e-07)","0.528 [0.364, 0.688] (p=7.796e-68)"
