,MAPKAPK2,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,Frequency
1326,-0.049966225999999975,0.06586635799999996,0.08839412699999999,0.080162228,0.0,0.35599740699999993,-0.023320324000000003,-0.32897127699999995,0.08731745399999996,-0.085333966,-0.036203351,-0.25402259299999996
1330,0.014409433000000027,0.022245632999999987,-0.03615460000000001,-0.010442204,0.0,0.116975532,0.016675672000000086,0.07331671699999998,0.049055758000000005,-0.011303525000000002,0.0,0.17752190899999998
1331,-0.057253166999999994,-0.08254366800000001,0.075980098,0.0603437,0.0,1.056939531,-0.250341795,-0.11852680399999993,0.127376614,-0.047820207,0.007306411,0.06555873299999992
1337,0.720990005,0.7470641060000001,-0.04262590200000002,1.017890567,0.0,-0.474295912,-0.02896199699999996,-0.18999652400000006,-0.024894646999999992,0.692060759,0.024276985,1.281454069
1357,0.01791343900000003,0.03791234700000001,0.0007648440000000145,0.019050364,0.0,0.04585229000000002,-0.001425200999999987,0.034883782999999946,0.014756940999999996,-0.008570939999999999,0.0,0.28266485799999996
1377,-0.053318373,0.04684221799999999,-0.01481174099999999,-0.006547143999999991,0.0,0.22628265900000022,-0.070451981,0.029128572999999935,-0.037602358999999974,-0.00022939599999999977,0.0,0.12845306699999992
1381,0.02241986500000001,0.29124230100000004,0.010806272000000006,0.023921378,0.0,0.14942340799999998,0.05238483300000002,0.09276141599999999,0.03510645899999998,0.010076657,0.0,-0.009213821000000011
1400,-0.02439933999999999,-0.09209657399999999,0.042493799,0.015407695,0.0,-0.11739496099999999,-0.008885274999999998,0.027617951999999946,0.012673876,0.0,0.0,0.08854884399999996
1414,-0.75417101,-0.7085504819999999,-0.13491080700000002,-1.1755772059999998,0.0,0.47356259099999987,-0.321750574,-0.739853222,-0.890931385,-0.077902738,-0.125530037,-1.64363655
1418,-0.05192105699999999,-0.09333726799999997,-0.0031343399999999855,-0.03178405299999999,0.0,0.055439919000000004,0.0040340870000000195,0.036924736000000014,-0.004584044000000009,-0.038606248999999995,0.0,-0.015082468000000127
1427,0.00316346599999999,0.07274728599999997,-0.027509093,0.022650984,0.0,0.218224352,0.080830175,0.023692769000000002,0.012343504999999998,0.0,0.0,-0.13942764800000007
1428,0.031151704000000002,0.133895724,0.012813384000000011,0.029873752999999996,0.0,0.384550841,0.046933901,0.09409958600000001,-0.005220427,0.007987983,0.0,0.14060865899999997
1431,0.012912301999999987,0.02564951900000001,0.0006472620000000096,0.011782816999999994,0.0,-0.254141901,-0.02718852799999999,0.014575634000000004,0.037708431999999986,0.0262447,0.0,0.471745246
1464,0.55614438,1.016899355,-0.008127774000000004,0.9128624860000001,0.0,-0.10459758500000002,0.07550224899999997,-0.11011208400000003,0.008460857000000016,0.04322321,0.0,0.34130546299999986
1469,0.39407047800000006,0.821394126,-0.0064322389999999785,1.195939035,0.0,-0.688362541,-0.010742040000000008,-0.054421685,-0.01621824699999999,0.081786954,-0.008008015,0.07358311799999973
1472,0.017186545999999997,0.24735997999999998,0.048512204,0.115284919,0.0,0.5362503510000001,0.23180595300000006,0.09329573299999999,0.042055553999999995,0.0,0.0,-0.22442861599999997
1473,0.032461330999999996,-0.001893011,0.007402716000000004,0.039182971,0.0,-0.07978912999999999,-0.016261568000000004,0.119094796,0.028537048999999995,0.0,0.0,3.068756853
1475,0.009738551000000012,-0.11546041000000001,-0.0013641769999999942,0.019755143,0.0,-0.21901188,-0.06412240400000002,-0.02031991500000002,-0.003435650999999998,0.0,0.0,-0.30422285700000007
1480,-0.01102103800000001,-0.020941981,-0.0007325710000000152,0.021575254000000002,0.0,-0.015598074000000017,0.0072618049999999545,-0.076620517,-0.038452844,0.0,0.0,-0.22201812799999998
1488,-0.051118259,-0.19041283600000003,-0.007853113000000023,0.006867898999999997,0.0,0.33435406200000006,-0.08892104299999992,-0.05797449800000001,-0.03090717600000001,0.0,0.0,0.927625001
