,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.650 [0.380, 0.875]","0.714 [0.442, 0.912]","1.000 [0.000, 1.000]","0.000 [0.000, 1.000]",2.627e-01
SS 03,"0.530 [0.262, 0.808] (p=0.1)","0.624 [0.345, 0.878] (p=0.255)","5.000 [5.000, 5.000] (p=3.038e-77)","1.000 [1.000, 1.000] (p=0.000e+00)",8.501e-01
SS 05,"0.560 [0.298, 0.833] (p=0.183)","0.670 [0.406, 0.898] (p=0.354)","4.000 [4.000, 4.000] (p=3.127e-67)","1.000 [0.750, 1.000] (p=0.000e+00)",6.776e-01
SS 08,"0.740 [0.470, 0.980] (p=0.132)","0.834 [0.575, 0.981] (p=0.053)","1.000 [1.000, 1.000] (p=1.753e-09)","1.000 [1.000, 1.000] (p=0.000e+00)",7.566e-02
Lasso,"0.810 [0.583, 0.980] (p=0.052)","0.863 [0.667, 0.984] (p=0.026)","1.000 [1.000, 1.000] (p=1.249e-15)","1.000 [1.000, 1.000] (p=0.000e+00)",2.113e-02
Lasso 1SE,"0.830 [0.620, 0.990] (p=0.052)","0.871 [0.667, 0.989] (p=0.055)","1.000 [1.000, 1.000] (p=4.252e-15)","1.000 [1.000, 1.000] (p=0.000e+00)",1.402e-02
ElasticNet,"0.720 [0.465, 0.976] (p=0.241)","0.828 [0.617, 0.972] (p=0.193)","2.000 [2.000, 2.000] (p=2.597e-47)","1.000 [0.500, 1.000] (p=0.000e+00)",1.041e-01
